Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.4,ind_val,jpeg,0.4,0.4375,0.5961538461538461,0.5168269230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.42500000000000004,ind_val,jpeg,0.42500000000000004,0.4375,0.5961538461538461,0.5168269230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.45,ind_val,jpeg,0.45,0.43810096153846156,0.5961538461538461,0.5171274038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.47500000000000003,ind_val,jpeg,0.47500000000000003,0.43810096153846156,0.5961538461538461,0.5171274038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,jpeg_0.5,ind_val,jpeg,0.5,0.4423076923076923,0.5961538461538461,0.5192307692307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.025,ind_val,contrast,0.025,0.4065504807692308,0.5961538461538461,0.5013521634615384
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.05,ind_val,contrast,0.05,0.4128605769230769,0.5961538461538461,0.5045072115384616
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.07500000000000001,ind_val,contrast,0.07500000000000001,0.42247596153846156,0.5961538461538461,0.5093149038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.1,ind_val,contrast,0.1,0.4293870192307692,0.5961538461538461,0.5127704326923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.125,ind_val,contrast,0.125,0.43569711538461536,0.5961538461538461,0.5159254807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.15000000000000002,ind_val,contrast,0.15000000000000002,0.43960336538461536,0.5961538461538461,0.5178786057692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.17500000000000002,ind_val,contrast,0.17500000000000002,0.4456129807692308,0.5961538461538461,0.5208834134615384
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.2,ind_val,contrast,0.2,0.4540264423076923,0.5961538461538461,0.5250901442307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.225,ind_val,contrast,0.225,0.45883413461538464,0.5961538461538461,0.5274939903846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.25,ind_val,contrast,0.25,0.46694711538461536,0.5961538461538461,0.5315504807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.275,ind_val,contrast,0.275,0.47205528846153844,0.5961538461538461,0.5341045673076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.30000000000000004,ind_val,contrast,0.30000000000000004,0.47866586538461536,0.5961538461538461,0.5374098557692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.325,ind_val,contrast,0.325,0.4879807692307692,0.5961538461538461,0.5420673076923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.35000000000000003,ind_val,contrast,0.35000000000000003,0.48828125,0.5961538461538461,0.5422175480769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.375,ind_val,contrast,0.375,0.48197115384615385,0.5961538461538461,0.5390625
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.4,ind_val,contrast,0.4,0.47836538461538464,0.5961538461538461,0.5372596153846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.42500000000000004,ind_val,contrast,0.42500000000000004,0.4738581730769231,0.5961538461538461,0.5350060096153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.45,ind_val,contrast,0.45,0.47265625,0.5961538461538461,0.5344050480769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.47500000000000003,ind_val,contrast,0.47500000000000003,0.4675480769230769,0.5961538461538461,0.5318509615384616
CCT,GradNorm,val_optimal,OoD Val,ind_val,contrast_0.5,ind_val,contrast,0.5,0.46424278846153844,0.5961538461538461,0.5301983173076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.025,ind_val,saltpepper,0.025,0.27524038461538464,0.5961538461538461,0.4356971153846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.05,ind_val,saltpepper,0.05,0.28966346153846156,0.5961538461538461,0.44290865384615385
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.07500000000000001,ind_val,saltpepper,0.07500000000000001,0.30408653846153844,0.5961538461538461,0.4501201923076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.1,ind_val,saltpepper,0.1,0.3317307692307692,0.5961538461538461,0.4639423076923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.125,ind_val,saltpepper,0.125,0.3557692307692308,0.5961538461538461,0.47596153846153844
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.15000000000000002,ind_val,saltpepper,0.15000000000000002,0.3605769230769231,0.5961538461538461,0.4783653846153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.17500000000000002,ind_val,saltpepper,0.17500000000000002,0.3707932692307692,0.5961538461538461,0.4834735576923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.2,ind_val,saltpepper,0.2,0.3798076923076923,0.5961538461538461,0.4879807692307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.225,ind_val,saltpepper,0.225,0.3858173076923077,0.5961538461538461,0.4909855769230769
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.25,ind_val,saltpepper,0.25,0.3918269230769231,0.5961538461538461,0.4939903846153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.275,ind_val,saltpepper,0.275,0.4128605769230769,0.5961538461538461,0.5045072115384616
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.30000000000000004,ind_val,saltpepper,0.30000000000000004,0.42427884615384615,0.5961538461538461,0.5102163461538461
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.325,ind_val,saltpepper,0.325,0.46033653846153844,0.5961538461538461,0.5282451923076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.35000000000000003,ind_val,saltpepper,0.35000000000000003,0.48257211538461536,0.5961538461538461,0.5393629807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.375,ind_val,saltpepper,0.375,0.5354567307692307,0.5961538461538461,0.5658052884615384
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.4,ind_val,saltpepper,0.4,0.5727163461538461,0.5961538461538461,0.5844350961538461
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.42500000000000004,ind_val,saltpepper,0.42500000000000004,0.6189903846153846,0.5961538461538461,0.6075721153846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.45,ind_val,saltpepper,0.45,0.6165865384615384,0.5961538461538461,0.6063701923076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.47500000000000003,ind_val,saltpepper,0.47500000000000003,0.6298076923076923,0.5961538461538461,0.6129807692307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,saltpepper_0.5,ind_val,saltpepper,0.5,0.6430288461538461,0.5961538461538461,0.6195913461538461
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.025,ind_val,noise,0.025,0.08653846153846154,0.5961538461538461,0.34134615384615385
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.05,ind_val,noise,0.05,0.0018028846153846155,0.5961538461538461,0.29897836538461536
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.07500000000000001,ind_val,noise,0.07500000000000001,0.0006009615384615385,0.5961538461538461,0.29837740384615385
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.1,ind_val,noise,0.1,0.0018028846153846155,0.5961538461538461,0.29897836538461536
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.125,ind_val,noise,0.125,0.0,0.5961538461538461,0.2980769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.15000000000000002,ind_val,noise,0.15000000000000002,0.0,0.5961538461538461,0.2980769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.17500000000000002,ind_val,noise,0.17500000000000002,0.0,0.5961538461538461,0.2980769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.2,ind_val,noise,0.2,0.0,0.5961538461538461,0.2980769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.225,ind_val,noise,0.225,0.0,0.5961538461538461,0.2980769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.25,ind_val,noise,0.25,0.0,0.5961538461538461,0.2980769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.275,ind_val,noise,0.275,0.18028846153846154,0.5961538461538461,0.38822115384615385
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.30000000000000004,ind_val,noise,0.30000000000000004,0.5258413461538461,0.5961538461538461,0.5609975961538461
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.325,ind_val,noise,0.325,0.8064903846153846,0.5961538461538461,0.7013221153846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.35000000000000003,ind_val,noise,0.35000000000000003,0.9122596153846154,0.5961538461538461,0.7542067307692308
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.375,ind_val,noise,0.375,0.9591346153846154,0.5961538461538461,0.7776442307692308
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.4,ind_val,noise,0.4,0.9735576923076923,0.5961538461538461,0.7848557692307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.42500000000000004,ind_val,noise,0.42500000000000004,0.9699519230769231,0.5961538461538461,0.7830528846153846
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.45,ind_val,noise,0.45,0.9501201923076923,0.5961538461538461,0.7731370192307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.47500000000000003,ind_val,noise,0.47500000000000003,0.6069711538461539,0.5961538461538461,0.6015625
CCT,GradNorm,val_optimal,OoD Val,ind_val,noise_0.5,ind_val,noise,0.5,0.375,0.5961538461538461,0.4855769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.025,ind_val,multnoise,0.025,0.3972355769230769,0.5961538461538461,0.49669471153846156
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.05,ind_val,multnoise,0.05,0.24759615384615385,0.5961538461538461,0.421875
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.07500000000000001,ind_val,multnoise,0.07500000000000001,0.1346153846153846,0.5961538461538461,0.36538461538461536
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.1,ind_val,multnoise,0.1,0.0751201923076923,0.5961538461538461,0.3356370192307692
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.125,ind_val,multnoise,0.125,0.03245192307692308,0.5961538461538461,0.31430288461538464
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.15000000000000002,ind_val,multnoise,0.15000000000000002,0.010216346153846154,0.5961538461538461,0.30318509615384615
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.17500000000000002,ind_val,multnoise,0.17500000000000002,0.003605769230769231,0.5961538461538461,0.2998798076923077
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.2,ind_val,multnoise,0.2,0.0030048076923076925,0.5961538461538461,0.2995793269230769
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.225,ind_val,multnoise,0.225,0.004206730769230769,0.5961538461538461,0.30018028846153844
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.25,ind_val,multnoise,0.25,0.0018028846153846155,0.5961538461538461,0.29897836538461536
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.275,ind_val,multnoise,0.275,0.05108173076923077,0.5961538461538461,0.32361778846153844
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.30000000000000004,ind_val,multnoise,0.30000000000000004,0.17127403846153846,0.5961538461538461,0.3837139423076923
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.325,ind_val,multnoise,0.325,0.3389423076923077,0.5961538461538461,0.4675480769230769
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.35000000000000003,ind_val,multnoise,0.35000000000000003,0.46694711538461536,0.5961538461538461,0.5315504807692307
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.375,ind_val,multnoise,0.375,0.5162259615384616,0.5961538461538461,0.5561899038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.4,ind_val,multnoise,0.4,0.5378605769230769,0.5961538461538461,0.5670072115384615
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.42500000000000004,ind_val,multnoise,0.42500000000000004,0.5408653846153846,0.5961538461538461,0.5685096153846154
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.45,ind_val,multnoise,0.45,0.5588942307692307,0.5961538461538461,0.5775240384615384
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.47500000000000003,ind_val,multnoise,0.47500000000000003,0.5600961538461539,0.5961538461538461,0.578125
CCT,GradNorm,val_optimal,OoD Val,ind_val,multnoise_0.5,ind_val,multnoise,0.5,0.5631009615384616,0.5961538461538461,0.5796274038461539
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.025,ind_val,adv,0.025,0.14723557692307693,0.5961538461538461,0.37169471153846156
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.05,ind_val,adv,0.05,0.008413461538461538,0.5961538461538461,0.30228365384615385
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.07500000000000001,ind_val,adv,0.07500000000000001,0.0,0.5961538461538461,0.2980769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.1,ind_val,adv,0.1,0.0,0.5961538461538461,0.2980769230769231
CCT,GradNorm,val_optimal,OoD Val,ind_val,adv_0.125,ind_val,adv,0.125,0.0,0.5961538461538461,0.2980769230769231
