,feature,monotonic_pred_loss,monotonic_pred_loss_lower,monotonic_pred_loss_upper,Dataset,train_shift,feature_name,sample_size
0,-72.18009948730469,0.08269536584996262,-3.358240268114832,3.523630999814757,NICO,brightness,energy,1
1,-71.52737026021939,0.12503444957851292,-3.2361739008352566,3.4862427999922825,NICO,brightness,energy,1
2,-70.87464103313407,0.16600337903055784,-3.1372068123624723,3.4692135704235882,NICO,brightness,energy,1
3,-70.22191180604877,0.20462901666333994,-3.059649185459083,3.4689072187857626,NICO,brightness,energy,1
4,-69.56918257896346,0.2399382249341047,-2.9999806952633237,3.479857145131533,NICO,brightness,energy,1
5,-68.91645335187816,0.27095786630009616,-2.9536239185416395,3.495539651141832,NICO,brightness,energy,1
6,-68.26372412479284,0.2967164800888572,-2.91597410207312,3.509407062250834,NICO,brightness,energy,1
7,-67.61099489770754,0.3167327486053007,-2.8837202742083603,3.517185771418962,NICO,brightness,energy,1
8,-66.95826567062224,0.3316938843265739,-2.8559482136940586,3.519335982347206,NICO,brightness,energy,1
9,-66.30553644353694,0.34245751943711017,-2.8331950277214455,3.518110066595666,NICO,brightness,energy,1
10,-65.65280721645162,0.3498812861213433,-2.8161379790347816,3.5159005512774684,NICO,brightness,energy,1
11,-65.00007798936632,0.3548228165637065,-2.804767815218188,3.514413448345601,NICO,brightness,energy,1
12,-64.34734876228102,0.35813480456464597,-2.7980763323227604,3.514345941452053,NICO,brightness,energy,1
13,-63.694619535195706,0.3604115246921578,-2.7944231461406326,3.515246195524948,NICO,brightness,energy,1
14,-63.041890308110396,0.361867087398766,-2.7925156920474445,3.516249866844977,NICO,brightness,energy,1
15,-62.389161081025094,0.36268517263196104,-2.7915902847101886,3.5169606299741107,NICO,brightness,energy,1
16,-61.73643185393979,0.3630494603392338,-2.7912121736374287,3.5173110943158967,NICO,brightness,energy,1
17,-61.08370262685448,0.36314363046807474,-2.7911178347771095,3.5174050957132588,NICO,brightness,energy,1
18,-60.43097339976917,0.36314682050156166,-2.791114663522615,3.5174083045257385,NICO,brightness,energy,1
19,-59.77824417268387,0.36314682014733446,-2.79111466387694,3.517408304171609,NICO,brightness,energy,1
20,-59.12551494559857,0.3631468196077724,-2.791114664416597,3.5174083036321417,NICO,brightness,energy,1
21,-58.47278571851326,0.36314681876731353,-2.7911146652571492,3.517408302791776,NICO,brightness,energy,1
22,-57.82005649142795,0.36314681751039524,-2.7911146665141597,3.5174083015349504,NICO,brightness,energy,1
23,-57.167327264342646,0.3631468157214557,-2.7911146683031904,3.517408299746102,NICO,brightness,energy,1
24,-56.514598037257336,0.36314681329361986,-2.7911146707311163,3.5174082973183562,NICO,brightness,energy,1
25,-55.86186881017203,0.3631468102078797,-2.7911146738169466,3.5174082942327063,NICO,brightness,energy,1
26,-55.209139583086724,0.36314680649624576,-2.791114677528669,3.5174082905211606,NICO,brightness,energy,1
27,-54.55641035600142,0.3631468021913579,-2.7911146818336454,3.517408286216361,NICO,brightness,energy,1
28,-53.90368112891611,0.36314679732585553,-2.7911146866992356,3.5174082813509466,NICO,brightness,energy,1
29,-53.2509519018308,0.3631467919323779,-2.7911146920928,3.5174082759575556,NICO,brightness,energy,1
30,-52.5982226747455,0.3631467860638819,-2.7911146979613815,3.5174082700891454,NICO,brightness,energy,1
31,-51.9454934476602,0.3631467798893166,-2.791114704136032,3.5174082639146653,NICO,brightness,energy,1
32,-51.29276422057489,0.3631467736187289,-2.791114710406703,3.517408257644161,NICO,brightness,energy,1
33,-50.64003499348958,0.36314676746221414,-2.7911147165633,3.5174082514877285,NICO,brightness,energy,1
34,-49.987305766404276,0.3631467616298681,-2.7911147223957267,3.5174082456554627,NICO,brightness,energy,1
35,-49.334576539318974,0.3631467563317701,-2.7911147276939046,3.5174082403574447,NICO,brightness,energy,1
36,-48.681847312233664,0.3631467516880714,-2.79111473233768,3.5174082357138228,NICO,brightness,energy,1
37,-48.029118085148355,0.36314674751721077,-2.7911147365086166,3.517408231543038,NICO,brightness,energy,1
38,-47.37638885806305,0.36314674357442334,-2.791114740451477,3.5174082276003236,NICO,brightness,energy,1
39,-46.72365963097775,0.3631467396149447,-2.7911147444110265,3.517408223640916,NICO,brightness,energy,1
40,-46.07093040389244,0.3631467353940102,-2.7911147486320296,3.5174082194200498,NICO,brightness,energy,1
41,-45.41820117680713,0.3631467306664886,-2.7911147533596163,3.5174082146925936,NICO,brightness,energy,1
42,-44.76547194972183,0.36314672513565627,-2.7911147588905107,3.5174082091618235,NICO,brightness,energy,1
43,-44.11274272263652,0.36314671840044876,-2.7911147656257773,3.517408202426675,NICO,brightness,energy,1
44,-43.46001349555121,0.3631467100472139,-2.791114773979068,3.5174081940734956,NICO,brightness,energy,1
45,-42.80728426846591,0.3631466996622996,-2.7911147843640336,3.517408183688633,NICO,brightness,energy,1
46,-42.154555041380604,0.36314668683205403,-2.7911147971943273,3.517408170858435,NICO,brightness,energy,1
47,-41.501825814295294,0.3631466711520286,-2.791114812874396,3.5174081551784533,NICO,brightness,energy,1
48,-40.849096587209985,0.36314665255188966,-2.7911148314745735,3.517408136578353,NICO,brightness,energy,1
49,-40.19636736012468,0.3631466313821143,-2.791114852644384,3.517408115408612,NICO,brightness,energy,1
50,-39.54363813303937,0.36314660802001103,-2.7911148760065165,3.517408092046539,NICO,brightness,energy,1
51,-38.89090890595407,0.3631465828428891,-2.7911149011836627,3.5174080668694407,NICO,brightness,energy,1
52,-38.23817967886876,0.36314655622805736,-2.7911149277985134,3.517408040254628,NICO,brightness,energy,1
53,-37.58545045178346,0.36314652855889634,-2.791114955467688,3.5174080125854803,NICO,brightness,energy,1
54,-36.93272122469815,0.3631465003140087,-2.7911149837125824,3.5174079843406,NICO,brightness,energy,1
55,-36.279991997612846,0.3631464720476012,-2.7911150119789916,3.5174079560741935,NICO,brightness,energy,1
56,-35.62726277052754,0.3631464443159635,-2.7911150397106237,3.517407928342551,NICO,brightness,energy,1
57,-34.974533543442234,0.36314641767538497,-2.7911150663511908,3.5174079017019606,NICO,brightness,energy,1
58,-34.321804316356925,0.3631463926821552,-2.7911150913444027,3.517407876708713,NICO,brightness,energy,1
59,-33.66907508927162,0.363146369840913,-2.7911151141856196,3.5174078538674456,NICO,brightness,energy,1
60,-33.01634586218631,0.36314634922813904,-2.7911151347983623,3.51740783325464,NICO,brightness,energy,1
61,-32.36361663510101,0.3631463307086097,-2.7911151533178513,3.517407814735071,NICO,brightness,energy,1
62,-31.7108874080157,0.363146314145597,-2.791115169880815,3.5174077981720093,NICO,brightness,energy,1
63,-31.0581581809304,0.3631462994023723,-2.7911151846239823,3.5174077834287267,NICO,brightness,energy,1
64,-30.40542895384509,0.3631462863422076,-2.79111519768408,3.517407770368495,NICO,brightness,energy,1
65,-29.75269972675978,0.3631736779017588,-2.7910876222196723,3.51743497802319,NICO,brightness,energy,1
66,-29.099970499674477,0.3633866905659931,-2.7908732117407844,3.5176465928727705,NICO,brightness,energy,1
67,-28.447241272589167,0.3639825313256602,-2.7902737604071666,3.5182388230584873,NICO,brightness,energy,1
68,-27.794512045503865,0.3651584138617129,-2.7890920461923416,3.5194088739157676,NICO,brightness,energy,1
69,-27.141782818418555,0.3671115518551042,-2.787133016768476,3.5213561204786843,NICO,brightness,energy,1
70,-26.489053591333253,0.37003899842191584,-2.7842056119644933,3.524283608808325,NICO,brightness,energy,1
