,feature,monotonic_pred_loss,monotonic_pred_loss_lower,monotonic_pred_loss_upper,Dataset,train_shift,feature_name,sample_size
0,139.4501929283142,4.228776834002831,1.959194993325354,6.498358674680308,Office31,brightness,cross_entropy,16
1,140.45448206891916,4.228776834322112,1.9591949936448714,6.498358674999352,Office31,brightness,cross_entropy,16
2,141.45877120952414,4.228776834736577,1.9591949940596751,6.498358675413478,Office31,brightness,cross_entropy,16
3,142.4630603501291,4.2287768352572135,1.959194994580792,6.498358675933635,Office31,brightness,cross_entropy,16
4,143.46734949073405,4.22877683589501,1.9591949952192484,6.4983586765707715,Office31,brightness,cross_entropy,16
5,144.47163863133903,4.228776836660957,1.959194995986075,6.4983586773358395,Office31,brightness,cross_entropy,16
6,145.475927771944,4.228776837565997,1.9591949968922515,6.498358678239742,Office31,brightness,cross_entropy,16
7,146.48021691254894,4.228776838608962,1.9591949979366583,6.4983586792812655,Office31,brightness,cross_entropy,16
8,147.48450605315392,4.228776839759806,1.9591949990893123,6.498358680430298,Office31,brightness,cross_entropy,16
9,148.48879519375888,4.228776840984263,1.9591950003160155,6.498358681652512,Office31,brightness,cross_entropy,16
10,149.49308433436383,4.228776842248074,1.959195001582573,6.498358682913574,Office31,brightness,cross_entropy,16
11,150.4973734749688,4.228776843516977,1.9591950028547922,6.498358684179162,Office31,brightness,cross_entropy,16
12,151.50166261557376,4.228773842627075,1.9591925180890049,6.498355167165146,Office31,brightness,cross_entropy,16
13,152.50595175617872,4.228607739862285,1.9590548353077377,6.498160644416833,Office31,brightness,cross_entropy,16
14,153.5102408967837,4.22788732711958,1.9584545848170096,6.497320069422151,Office31,brightness,cross_entropy,16
15,154.51453003738865,4.226202897061921,1.9570314531235034,6.495374341000339,Office31,brightness,cross_entropy,16
16,155.51881917799363,4.223144742352273,1.9543772864421345,6.491912198262412,Office31,brightness,cross_entropy,16
17,156.5231083185986,4.218303155653601,1.949989506464616,6.486616804842585,Office31,brightness,cross_entropy,16
18,157.52739745920354,4.211259478514327,1.9431999748667583,6.479318982161896,Office31,brightness,cross_entropy,16
19,158.5316865998085,4.201415047902391,1.9330234354965636,6.469806660308219,Office31,brightness,cross_entropy,16
20,159.53597574041348,4.188004493951549,1.9184855852453864,6.457523402657712,Office31,brightness,cross_entropy,16
21,160.54026488101843,4.170256160141717,1.8989827084965571,6.441529611786876,Office31,brightness,cross_entropy,16
22,161.5445540216234,4.147398389952813,1.8742847511677674,6.420512028737859,Office31,brightness,cross_entropy,16
23,162.54884316222837,4.118659526864756,1.8443969924502976,6.392922061279215,Office31,brightness,cross_entropy,16
24,163.55313230283332,4.083475668963002,1.8094463731708865,6.357504964755118,Office31,brightness,cross_entropy,16
25,164.5574214434383,4.043384145375224,1.77079432328147,6.315973967468979,Office31,brightness,cross_entropy,16
26,165.56171058404325,4.00114236262319,1.7304556546402967,6.271829070606083,Office31,brightness,cross_entropy,16
27,166.5659997246482,3.9595227557736226,1.690510949434211,6.228534562113034,Office31,brightness,cross_entropy,16
28,167.5702888652532,3.921297759893243,1.6533118172841248,6.189283702502362,Office31,brightness,cross_entropy,16
29,168.57457800585814,3.88923981004878,1.6215700107061193,6.156909609391441,Office31,brightness,cross_entropy,16
30,169.5788671464631,3.865621754038674,1.5978119451655428,6.133431562911806,Office31,brightness,cross_entropy,16
31,170.58315628706808,3.8498642774435186,1.5817795544233597,6.117949000463677,Office31,brightness,cross_entropy,16
32,171.58744542767303,3.840377493316334,1.5720572220823361,6.108697764550332,Office31,brightness,cross_entropy,16
33,172.59173456827799,3.835570330503281,1.5671106132325954,6.104030047773966,Office31,brightness,cross_entropy,16
34,173.59602370888297,3.8338517178505236,1.5653388689116077,6.10236456678944,Office31,brightness,cross_entropy,16
35,174.60031284948792,3.833630638179091,1.5651108290897557,6.102150447268427,Office31,brightness,cross_entropy,16
36,175.60460199009287,3.8336306398374576,1.5651108307453385,6.102150448929576,Office31,brightness,cross_entropy,16
37,176.60889113069786,3.8336306417571686,1.565110832662619,6.102150450851719,Office31,brightness,cross_entropy,16
38,177.6131802713028,3.833630643926809,1.5651108348301488,6.102150453023469,Office31,brightness,cross_entropy,16
39,178.6174694119078,3.8336306463349623,1.5651108372364795,6.102150455433446,Office31,brightness,cross_entropy,16
40,179.62175855251274,3.8336306489702103,1.5651108398701599,6.102150458070261,Office31,brightness,cross_entropy,16
41,180.6260476931177,3.8336306518211214,1.5651108427197253,6.102150460922518,Office31,brightness,cross_entropy,16
42,181.63033683372265,3.8336306548735934,1.5651108457710508,6.102150463976136,Office31,brightness,cross_entropy,16
43,182.63462597432763,3.8336306581081447,1.5651108490046464,6.102150467211644,Office31,brightness,cross_entropy,16
44,183.6389151149326,3.8336306615046407,1.5651108524003727,6.102150470608908,Office31,brightness,cross_entropy,16
45,184.64320425553757,3.8336306650429472,1.565110855938089,6.102150474147805,Office31,brightness,cross_entropy,16
46,185.64749339614252,3.83363066870293,1.5651108595976564,6.102150477808204,Office31,brightness,cross_entropy,16
47,186.65178253674748,3.833630672464031,1.5651108633585116,6.10215048156955,Office31,brightness,cross_entropy,16
48,187.65607167735243,3.8336306762902614,1.5651108671846639,6.102150485395859,Office31,brightness,cross_entropy,16
49,188.6603608179574,3.8336306801261992,1.5651108710206945,6.102150489231704,Office31,brightness,cross_entropy,16
50,189.66464995856236,3.8336306839151844,1.5651108748099465,6.102150493020423,Office31,brightness,cross_entropy,16
51,190.66893909916735,3.8336306876005573,1.565110878495763,6.1021504967053515,Office31,brightness,cross_entropy,16
