,Tree,t,Risk Estimate,True Risk,E[f(x)=y],E[f(x)=y]_zero_ood,Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,dsd,rate,test_set,val_set,Model,heldout_shift_type
0,Base Tree,350.5,1141.8626435001293,819.6817042606516,0.9169077633606346,0.8315436007908172,0.9697243107769424,0.18709273182957395,0.0,0.11585396056490745,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.11585396056490745,0.0528165474163078,kNN,0.0,brightness_0.025,brightness,vit,brightness
1,Detector Tree,350.5,1178.9383831914117,1021.3333333333334,0.9274413406201131,0.8416252825472951,0.9697243107769424,0.18709273182957395,0.0,0.11585396056490745,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.11585396056490745,0.04228297015682926,kNN,0.0,brightness_0.025,brightness,vit,brightness
0,Base Tree,350.5,1151.8350521898212,851.7869674185464,0.9152729422639637,0.8239946858819202,0.9644611528822055,0.196140350877193,0.09659147869674185,0.12388041066612443,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.02388694502907235,0.04918821061824177,kNN,0.1,brightness_0.025,brightness,vit,brightness
1,Detector Tree,350.5,1182.406868142827,1064.4766917293234,0.9257463037137151,0.8339848441660921,0.9644611528822055,0.196140350877193,0.09659147869674185,0.12388041066612443,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.02388694502907235,0.03871484916849032,kNN,0.1,brightness_0.025,brightness,vit,brightness
0,Base Tree,350.5,1119.733423932724,851.7869674185464,0.9205355042733239,0.8482949795913386,0.9644611528822055,0.18832080200501253,0.21348370927318297,0.0980429098786023,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.10195709012139771,0.04392564860888155,kNN,0.2,brightness_0.025,brightness,vit,brightness
1,Detector Tree,350.5,1171.2416604191642,1054.9368421052632,0.9312027030997021,0.8585797560140355,0.9644611528822055,0.18832080200501253,0.21348370927318297,0.0980429098786023,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.10195709012139771,0.0336511494020463,kNN,0.2,brightness_0.025,brightness,vit,brightness
0,Base Tree,350.5,1116.363304866513,847.5062656641604,0.9210879828087684,0.8508460926529176,0.9651629072681703,0.19032581453634084,0.298671679197995,0.09533041650194582,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.20466958349805423,0.04407492445940207,kNN,0.30000000000000004,brightness_0.025,brightness,vit,brightness
1,Detector Tree,350.5,1170.0695055637668,1053.1022556390976,0.9317755312271823,0.8611617989149964,0.9651629072681703,0.19032581453634084,0.298671679197995,0.09533041650194582,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.20466958349805423,0.0333873760409882,kNN,0.30000000000000004,brightness_0.025,brightness,vit,brightness
0,Base Tree,350.5,1108.8519632060138,805.7694235588972,0.9223193502940961,0.8565320288004575,0.9720050125313283,0.1930827067669173,0.3831328320802005,0.08928479493676597,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.3107152050632341,0.04968566223723223,kNN,0.4,brightness_0.025,brightness,vit,brightness
1,Detector Tree,350.5,1167.4569997665155,1026.042105263158,0.9330522540057293,0.8669166716747269,0.9720050125313283,0.1930827067669173,0.3831328320802005,0.08928479493676597,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.3107152050632341,0.03895275852559905,kNN,0.4,brightness_0.025,brightness,vit,brightness
0,Base Tree,350.5,1124.7513099308119,781.0025062656641,0.9197129000113423,0.8444965397559089,0.9760651629072682,0.2030325814536341,0.4745864661654135,0.10208163440649688,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.39791836559350313,0.05635226289592585,kNN,0.5,brightness_0.025,brightness,vit,brightness
1,Detector Tree,350.5,1172.9869220318653,1013.4140350877193,0.9303497996313908,0.8547352636787061,0.9760651629072682,0.2030325814536341,0.4745864661654135,0.10208163440649688,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.39791836559350313,0.04571536327587738,kNN,0.5,brightness_0.025,brightness,vit,brightness
0,Base Tree,350.5,1174.906907588496,860.3483709273183,0.9114906708871318,0.8065297505173078,0.9630576441102756,0.18944862155388473,0.6168671679197995,0.1424501566384664,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.4575498433615337,0.05156697322314386,kNN,0.6000000000000001,brightness_0.025,brightness,vit,brightness
1,Detector Tree,350.5,1190.4314473334343,1065.4857142857143,0.9218247189074033,0.816308162935026,0.9630576441102756,0.18944862155388473,0.6168671679197995,0.1424501566384664,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.4575498433615337,0.04123292520287247,kNN,0.6000000000000001,brightness_0.025,brightness,vit,brightness
0,Base Tree,350.5,1172.9152259590498,818.6115288220551,0.9118171760722869,0.8080374138726858,0.9698997493734336,0.19220551378446116,0.701328320802005,0.1408471203296172,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.5591528796703829,0.058082573301146655,kNN,0.7000000000000001,brightness_0.025,brightness,vit,brightness
1,Detector Tree,350.5,1189.7387242436873,1038.4255639097744,0.922163250346773,0.8178341052863944,0.9698997493734336,0.19220551378446116,0.701328320802005,0.1408471203296172,0.9405048076923077,0.7368255876068376,0.96875,0.5190638354700855,0.8143028846153846,0.5591528796703829,0.047736499026660516,kNN,0.7000000000000001,brightness_0.025,brightness,vit,brightness
