Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.42500000000000004,ind_val,contrast,0.42500000000000004,0.20733173076923078,0.8479567307692308,0.5276442307692308
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.45,ind_val,contrast,0.45,0.20763221153846154,0.8479567307692308,0.5277944711538461
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.47500000000000003,ind_val,contrast,0.47500000000000003,0.20192307692307693,0.8479567307692308,0.5249399038461539
CCT,Softmax,val_optimal,OoD Val,ind_val,contrast_0.5,ind_val,contrast,0.5,0.21604567307692307,0.8479567307692308,0.532001201923077
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.025,ind_val,brightness,0.025,0.1310096153846154,0.8479567307692308,0.48948317307692313
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.05,ind_val,brightness,0.05,0.13581730769230768,0.8479567307692308,0.4918870192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.07500000000000001,ind_val,brightness,0.07500000000000001,0.13161057692307693,0.8479567307692308,0.48978365384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.1,ind_val,brightness,0.1,0.13701923076923078,0.8479567307692308,0.49248798076923084
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.125,ind_val,brightness,0.125,0.1424278846153846,0.8479567307692308,0.4951923076923077
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.15000000000000002,ind_val,brightness,0.15000000000000002,0.14362980769230768,0.8479567307692308,0.4957932692307693
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.17500000000000002,ind_val,brightness,0.17500000000000002,0.16646634615384615,0.8479567307692308,0.5072115384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.2,ind_val,brightness,0.2,0.17487980769230768,0.8479567307692308,0.5114182692307693
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.225,ind_val,brightness,0.225,0.18449519230769232,0.8479567307692308,0.5162259615384616
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.25,ind_val,brightness,0.25,0.20552884615384615,0.8479567307692308,0.5267427884615385
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.275,ind_val,brightness,0.275,0.21634615384615385,0.8479567307692308,0.5321514423076923
CCT,Softmax,val_optimal,OoD Val,ind_val,brightness_0.30000000000000004,ind_val,brightness,0.30000000000000004,0.25060096153846156,0.8479567307692308,0.5492788461538463
