Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,bias,k,tpr,tnr,ba
NICO,kNN,val_optimal,True,True,rock,autumn,Class,-1,0.9416243654822335,0.21333333333333337,0.5774788494077834
NICO,kNN,val_optimal,True,True,rock,autumn,Synthetic,-1,0.8336252189141856,0.46464646464646464,0.6491358417803251
NICO,kNN,val_optimal,True,True,rock,autumn,Temporal,-1,0.973170731707317,0.18777292576419213,0.5804718287357546
NICO,kNN,val_optimal,True,True,grass,outdoor,Unbiased,-1,0.9844444444444445,0.25705329153605017,0.6207488679902473
NICO,kNN,val_optimal,True,True,grass,outdoor,Class,-1,0.973170731707317,0.2923728813559322,0.6327718065316246
NICO,kNN,val_optimal,True,True,grass,outdoor,Synthetic,-1,0.8603773584905661,0.3282208588957055,0.5942991086931357
NICO,kNN,val_optimal,True,True,grass,outdoor,Temporal,-1,0.9786096256684492,0.2867647058823529,0.6326871657754011
NICO,kNN,val_optimal,True,True,grass,water,Unbiased,-1,0.9915254237288136,0.18584070796460173,0.5886830658467077
NICO,kNN,val_optimal,True,True,grass,water,Class,-1,0.9686323713927227,0.16839916839916835,0.5685157698959455
NICO,kNN,val_optimal,True,True,grass,water,Synthetic,-1,0.8453815261044176,0.35511363636363635,0.600247581234027
NICO,kNN,val_optimal,True,True,grass,water,Temporal,-1,0.9579579579579579,0.18681318681318682,0.5723855723855724
NICO,kNN,val_optimal,True,True,grass,rock,Unbiased,-1,0.9973474801061007,0.28624535315985133,0.641796416632976
NICO,kNN,val_optimal,True,True,grass,rock,Class,-1,0.9496402877697842,0.18544600938967137,0.5675431485797278
NICO,kNN,val_optimal,True,True,grass,rock,Synthetic,-1,0.9052863436123348,0.46875,0.6870181718061674
NICO,kNN,val_optimal,True,True,grass,rock,Temporal,-1,0.9532163742690059,0.32421875,0.6387175621345029
NICO,kNN,val_optimal,True,True,grass,grass,Unbiased,-1,0.986046511627907,0.17226890756302526,0.5791577095954661
NICO,kNN,val_optimal,True,True,grass,grass,Class,-1,0.9662921348314607,0.16157205240174677,0.5639320936166037
NICO,kNN,val_optimal,True,True,grass,grass,Synthetic,-1,0.8471337579617835,0.3392857142857143,0.5932097361237489
NICO,kNN,val_optimal,True,True,grass,grass,Temporal,-1,0.9737394957983193,0.20959595959595956,0.5916677276971394
NICO,kNN,val_optimal,True,True,grass,autumn,Unbiased,-1,0.9964912280701754,0.1582150101419878,0.5773531191060817
NICO,kNN,val_optimal,True,True,grass,autumn,Class,-1,0.9416243654822335,0.21066666666666667,0.5761455160744501
NICO,kNN,val_optimal,True,True,grass,autumn,Synthetic,-1,0.8353765323992994,0.46464646464646464,0.650011498522882
NICO,kNN,val_optimal,True,True,grass,autumn,Temporal,-1,0.973170731707317,0.18777292576419213,0.5804718287357546
NICO,kNN,val_optimal,True,True,autumn,outdoor,Unbiased,-1,0.9866666666666667,0.25391849529780564,0.6202925809822362
NICO,kNN,val_optimal,True,True,autumn,outdoor,Class,-1,0.973170731707317,0.2923728813559322,0.6327718065316246
NICO,kNN,val_optimal,True,True,autumn,outdoor,Synthetic,-1,0.8679245283018868,0.32515337423312884,0.5965389512675079
NICO,kNN,val_optimal,True,True,autumn,outdoor,Temporal,-1,0.9786096256684492,0.2867647058823529,0.6326871657754011
NICO,kNN,val_optimal,True,True,autumn,water,Unbiased,-1,0.9915254237288136,0.1836283185840708,0.5875768711564422
NICO,kNN,val_optimal,True,True,autumn,water,Class,-1,0.9711417816813049,0.1642411642411642,0.5676914729612346
NICO,kNN,val_optimal,True,True,autumn,water,Synthetic,-1,0.8483935742971888,0.34943181818181823,0.5989126962395035
NICO,kNN,val_optimal,True,True,autumn,water,Temporal,-1,0.960960960960961,0.18461538461538463,0.5727881727881727
NICO,kNN,val_optimal,True,True,autumn,rock,Unbiased,-1,0.9973474801061007,0.28624535315985133,0.641796416632976
NICO,kNN,val_optimal,True,True,autumn,rock,Class,-1,0.9568345323741008,0.18075117370892024,0.5687928530415105
NICO,kNN,val_optimal,True,True,autumn,rock,Synthetic,-1,0.9074889867841409,0.46875,0.6881194933920705
NICO,kNN,val_optimal,True,True,autumn,rock,Temporal,-1,0.9571150097465887,0.31640625,0.6367606298732944
NICO,kNN,val_optimal,True,True,autumn,grass,Unbiased,-1,0.986046511627907,0.17226890756302526,0.5791577095954661
NICO,kNN,val_optimal,True,True,autumn,grass,Class,-1,0.9707865168539326,0.1593886462882096,0.5650875815710711
NICO,kNN,val_optimal,True,True,autumn,grass,Synthetic,-1,0.8524416135881104,0.33630952380952384,0.5943755686988171
NICO,kNN,val_optimal,True,True,autumn,grass,Temporal,-1,0.9758403361344538,0.20959595959595956,0.5927181478652066
NICO,kNN,val_optimal,True,True,autumn,autumn,Unbiased,-1,0.9964912280701754,0.1582150101419878,0.5773531191060817
NICO,kNN,val_optimal,True,True,autumn,autumn,Class,-1,0.9467005076142132,0.20799999999999996,0.5773502538071066
NICO,kNN,val_optimal,True,True,autumn,autumn,Synthetic,-1,0.840630472854641,0.45959595959595956,0.6501132162253003
NICO,kNN,val_optimal,True,True,autumn,autumn,Temporal,-1,0.974390243902439,0.18558951965065507,0.579989881776547
NICO,kNN,ind_span,True,True,outdoor,outdoor,Unbiased,-1,0.9933333333333333,0.24137931034482762,0.6173563218390805
NICO,kNN,ind_span,True,True,outdoor,outdoor,Class,-1,0.9853658536585366,0.26694915254237284,0.6261575031004547
NICO,kNN,ind_span,True,True,outdoor,outdoor,Synthetic,-1,0.9119496855345912,0.2668711656441718,0.5894104255893815
NICO,kNN,ind_span,True,True,outdoor,outdoor,Temporal,-1,0.9893048128342246,0.25,0.6196524064171123
NICO,kNN,ind_span,True,True,outdoor,water,Unbiased,-1,0.9963680387409201,0.17256637168141598,0.584467205211168
NICO,kNN,ind_span,True,True,outdoor,water,Class,-1,0.9887076537013801,0.13305613305613306,0.5608818933787566
NICO,kNN,ind_span,True,True,outdoor,water,Synthetic,-1,0.8955823293172691,0.2954545454545454,0.5955184373859073
NICO,kNN,ind_span,True,True,outdoor,water,Temporal,-1,0.9819819819819819,0.15164835164835166,0.5668151668151669
NICO,kNN,ind_span,True,True,outdoor,rock,Unbiased,-1,0.9973474801061007,0.2788104089219331,0.6380789445140169
NICO,kNN,ind_span,True,True,outdoor,rock,Class,-1,0.9784172661870504,0.15492957746478875,0.5666734218259195
NICO,kNN,ind_span,True,True,outdoor,rock,Synthetic,-1,0.9295154185022027,0.41145833333333337,0.670486875917768
NICO,kNN,ind_span,True,True,outdoor,rock,Temporal,-1,0.9883040935672515,0.27734375,0.6328239217836258
NICO,kNN,ind_span,True,True,outdoor,grass,Unbiased,-1,0.9906976744186047,0.15966386554621848,0.5751807699824116
NICO,kNN,ind_span,True,True,outdoor,grass,Class,-1,0.9876404494382023,0.14192139737991272,0.5647809234090575
NICO,kNN,ind_span,True,True,outdoor,grass,Synthetic,-1,0.8970276008492569,0.30059523809523814,0.5988114194722476
NICO,kNN,ind_span,True,True,outdoor,grass,Temporal,-1,0.9915966386554622,0.1767676767676768,0.5841821577115696
NICO,kNN,ind_span,True,True,outdoor,autumn,Unbiased,-1,0.9988304093567252,0.15212981744421905,0.5754801134004721
NICO,kNN,ind_span,True,True,outdoor,autumn,Class,-1,0.9720812182741116,0.17600000000000005,0.5740406091370558
NICO,kNN,ind_span,True,True,outdoor,autumn,Synthetic,-1,0.8949211908931699,0.38888888888888884,0.6419050398910293
NICO,kNN,ind_span,True,True,outdoor,autumn,Temporal,-1,0.9853658536585366,0.15283842794759828,0.5691021408030674
NICO,kNN,ind_span,True,True,water,outdoor,Unbiased,-1,0.9933333333333333,0.24137931034482762,0.6173563218390805
NICO,kNN,ind_span,True,True,water,outdoor,Class,-1,0.9853658536585366,0.26694915254237284,0.6261575031004547
NICO,kNN,ind_span,True,True,water,outdoor,Synthetic,-1,0.9119496855345912,0.2668711656441718,0.5894104255893815
NICO,kNN,ind_span,True,True,water,outdoor,Temporal,-1,0.9893048128342246,0.25,0.6196524064171123
NICO,kNN,ind_span,True,True,water,water,Unbiased,-1,0.9963680387409201,0.17256637168141598,0.584467205211168
NICO,kNN,ind_span,True,True,water,water,Class,-1,0.9887076537013801,0.13305613305613306,0.5608818933787566
NICO,kNN,ind_span,True,True,water,water,Synthetic,-1,0.8955823293172691,0.2954545454545454,0.5955184373859073
NICO,kNN,ind_span,True,True,water,water,Temporal,-1,0.9819819819819819,0.15164835164835166,0.5668151668151669
NICO,kNN,ind_span,True,True,water,rock,Unbiased,-1,0.9973474801061007,0.2788104089219331,0.6380789445140169
NICO,kNN,ind_span,True,True,water,rock,Class,-1,0.9784172661870504,0.15492957746478875,0.5666734218259195
NICO,kNN,ind_span,True,True,water,rock,Synthetic,-1,0.9295154185022027,0.41145833333333337,0.670486875917768
NICO,kNN,ind_span,True,True,water,rock,Temporal,-1,0.9883040935672515,0.27734375,0.6328239217836258
NICO,kNN,ind_span,True,True,water,grass,Unbiased,-1,0.9906976744186047,0.15966386554621848,0.5751807699824116
NICO,kNN,ind_span,True,True,water,grass,Class,-1,0.9876404494382023,0.14192139737991272,0.5647809234090575
NICO,kNN,ind_span,True,True,water,grass,Synthetic,-1,0.8970276008492569,0.30059523809523814,0.5988114194722476
NICO,kNN,ind_span,True,True,water,grass,Temporal,-1,0.9915966386554622,0.1767676767676768,0.5841821577115696
NICO,kNN,ind_span,True,True,water,autumn,Unbiased,-1,0.9988304093567252,0.15212981744421905,0.5754801134004721
NICO,kNN,ind_span,True,True,water,autumn,Class,-1,0.9720812182741116,0.17600000000000005,0.5740406091370558
NICO,kNN,ind_span,True,True,water,autumn,Synthetic,-1,0.8949211908931699,0.38888888888888884,0.6419050398910293
NICO,kNN,ind_span,True,True,water,autumn,Temporal,-1,0.9853658536585366,0.15283842794759828,0.5691021408030674
NICO,kNN,ind_span,True,True,rock,outdoor,Unbiased,-1,0.9933333333333333,0.24137931034482762,0.6173563218390805
NICO,kNN,ind_span,True,True,rock,outdoor,Class,-1,0.9853658536585366,0.26694915254237284,0.6261575031004547
NICO,kNN,ind_span,True,True,rock,outdoor,Synthetic,-1,0.9119496855345912,0.2668711656441718,0.5894104255893815
NICO,kNN,ind_span,True,True,rock,outdoor,Temporal,-1,0.9893048128342246,0.25,0.6196524064171123
NICO,kNN,ind_span,True,True,rock,water,Unbiased,-1,0.9963680387409201,0.17256637168141598,0.584467205211168
NICO,kNN,ind_span,True,True,rock,water,Class,-1,0.9887076537013801,0.13305613305613306,0.5608818933787566
NICO,kNN,ind_span,True,True,rock,water,Synthetic,-1,0.8955823293172691,0.2954545454545454,0.5955184373859073
NICO,kNN,ind_span,True,True,rock,water,Temporal,-1,0.9819819819819819,0.15164835164835166,0.5668151668151669
NICO,kNN,ind_span,True,True,rock,rock,Unbiased,-1,0.9973474801061007,0.2788104089219331,0.6380789445140169
NICO,kNN,ind_span,True,True,rock,rock,Class,-1,0.9784172661870504,0.15492957746478875,0.5666734218259195
NICO,kNN,ind_span,True,True,rock,rock,Synthetic,-1,0.9295154185022027,0.41145833333333337,0.670486875917768
NICO,kNN,ind_span,True,True,rock,rock,Temporal,-1,0.9883040935672515,0.27734375,0.6328239217836258
NICO,kNN,ind_span,True,True,rock,grass,Unbiased,-1,0.9906976744186047,0.15966386554621848,0.5751807699824116
NICO,kNN,ind_span,True,True,rock,grass,Class,-1,0.9876404494382023,0.14192139737991272,0.5647809234090575
NICO,kNN,ind_span,True,True,rock,grass,Synthetic,-1,0.8970276008492569,0.30059523809523814,0.5988114194722476
NICO,kNN,ind_span,True,True,rock,grass,Temporal,-1,0.9915966386554622,0.1767676767676768,0.5841821577115696
NICO,kNN,ind_span,True,True,rock,autumn,Unbiased,-1,0.9988304093567252,0.15212981744421905,0.5754801134004721
NICO,kNN,ind_span,True,True,rock,autumn,Class,-1,0.9720812182741116,0.17600000000000005,0.5740406091370558
NICO,kNN,ind_span,True,True,rock,autumn,Synthetic,-1,0.8949211908931699,0.38888888888888884,0.6419050398910293
NICO,kNN,ind_span,True,True,rock,autumn,Temporal,-1,0.9853658536585366,0.15283842794759828,0.5691021408030674
NICO,kNN,ind_span,True,True,grass,outdoor,Unbiased,-1,0.9933333333333333,0.24137931034482762,0.6173563218390805
NICO,kNN,ind_span,True,True,grass,outdoor,Class,-1,0.9853658536585366,0.26694915254237284,0.6261575031004547
NICO,kNN,ind_span,True,True,grass,outdoor,Synthetic,-1,0.9119496855345912,0.2668711656441718,0.5894104255893815
NICO,kNN,ind_span,True,True,grass,outdoor,Temporal,-1,0.9893048128342246,0.25,0.6196524064171123
NICO,kNN,ind_span,True,True,grass,water,Unbiased,-1,0.9963680387409201,0.17256637168141598,0.584467205211168
NICO,kNN,ind_span,True,True,grass,water,Class,-1,0.9887076537013801,0.13305613305613306,0.5608818933787566
NICO,kNN,ind_span,True,True,grass,water,Synthetic,-1,0.8955823293172691,0.2954545454545454,0.5955184373859073
NICO,kNN,ind_span,True,True,grass,water,Temporal,-1,0.9819819819819819,0.15164835164835166,0.5668151668151669
NICO,kNN,ind_span,True,True,grass,rock,Unbiased,-1,0.9973474801061007,0.2788104089219331,0.6380789445140169
NICO,kNN,ind_span,True,True,grass,rock,Class,-1,0.9784172661870504,0.15492957746478875,0.5666734218259195
NICO,kNN,ind_span,True,True,grass,rock,Synthetic,-1,0.9295154185022027,0.41145833333333337,0.670486875917768
NICO,kNN,ind_span,True,True,grass,rock,Temporal,-1,0.9883040935672515,0.27734375,0.6328239217836258
NICO,kNN,ind_span,True,True,grass,grass,Unbiased,-1,0.9906976744186047,0.15966386554621848,0.5751807699824116
NICO,kNN,ind_span,True,True,grass,grass,Class,-1,0.9876404494382023,0.14192139737991272,0.5647809234090575
NICO,kNN,ind_span,True,True,grass,grass,Synthetic,-1,0.8970276008492569,0.30059523809523814,0.5988114194722476
NICO,kNN,ind_span,True,True,grass,grass,Temporal,-1,0.9915966386554622,0.1767676767676768,0.5841821577115696
NICO,kNN,ind_span,True,True,grass,autumn,Unbiased,-1,0.9988304093567252,0.15212981744421905,0.5754801134004721
NICO,kNN,ind_span,True,True,grass,autumn,Class,-1,0.9720812182741116,0.17600000000000005,0.5740406091370558
NICO,kNN,ind_span,True,True,grass,autumn,Synthetic,-1,0.8949211908931699,0.38888888888888884,0.6419050398910293
NICO,kNN,ind_span,True,True,grass,autumn,Temporal,-1,0.9853658536585366,0.15283842794759828,0.5691021408030674
NICO,kNN,ind_span,True,True,autumn,outdoor,Unbiased,-1,0.9933333333333333,0.24137931034482762,0.6173563218390805
NICO,kNN,ind_span,True,True,autumn,outdoor,Class,-1,0.9853658536585366,0.26694915254237284,0.6261575031004547
NICO,kNN,ind_span,True,True,autumn,outdoor,Synthetic,-1,0.9119496855345912,0.2668711656441718,0.5894104255893815
NICO,kNN,ind_span,True,True,autumn,outdoor,Temporal,-1,0.9893048128342246,0.25,0.6196524064171123
NICO,kNN,ind_span,True,True,autumn,water,Unbiased,-1,0.9963680387409201,0.17256637168141598,0.584467205211168
NICO,kNN,ind_span,True,True,autumn,water,Class,-1,0.9887076537013801,0.13305613305613306,0.5608818933787566
NICO,kNN,ind_span,True,True,autumn,water,Synthetic,-1,0.8955823293172691,0.2954545454545454,0.5955184373859073
NICO,kNN,ind_span,True,True,autumn,water,Temporal,-1,0.9819819819819819,0.15164835164835166,0.5668151668151669
NICO,kNN,ind_span,True,True,autumn,rock,Unbiased,-1,0.9973474801061007,0.2788104089219331,0.6380789445140169
NICO,kNN,ind_span,True,True,autumn,rock,Class,-1,0.9784172661870504,0.15492957746478875,0.5666734218259195
NICO,kNN,ind_span,True,True,autumn,rock,Synthetic,-1,0.9295154185022027,0.41145833333333337,0.670486875917768
NICO,kNN,ind_span,True,True,autumn,rock,Temporal,-1,0.9883040935672515,0.27734375,0.6328239217836258
NICO,kNN,ind_span,True,True,autumn,grass,Unbiased,-1,0.9906976744186047,0.15966386554621848,0.5751807699824116
NICO,kNN,ind_span,True,True,autumn,grass,Class,-1,0.9876404494382023,0.14192139737991272,0.5647809234090575
NICO,kNN,ind_span,True,True,autumn,grass,Synthetic,-1,0.8970276008492569,0.30059523809523814,0.5988114194722476
NICO,kNN,ind_span,True,True,autumn,grass,Temporal,-1,0.9915966386554622,0.1767676767676768,0.5841821577115696
NICO,kNN,ind_span,True,True,autumn,autumn,Unbiased,-1,0.9988304093567252,0.15212981744421905,0.5754801134004721
NICO,kNN,ind_span,True,True,autumn,autumn,Class,-1,0.9720812182741116,0.17600000000000005,0.5740406091370558
NICO,kNN,ind_span,True,True,autumn,autumn,Synthetic,-1,0.8949211908931699,0.38888888888888884,0.6419050398910293
NICO,kNN,ind_span,True,True,autumn,autumn,Temporal,-1,0.9853658536585366,0.15283842794759828,0.5691021408030674
NICO,kNN,val_optimal,True,False,outdoor,outdoor,Unbiased,-1,0.9855282199710564,1.0,0.9927641099855282
NICO,kNN,val_optimal,True,False,outdoor,outdoor,Class,-1,0.973170731707317,0.2923728813559322,0.6327718065316246
NICO,kNN,val_optimal,True,False,outdoor,outdoor,Synthetic,-1,0.8666666666666667,0.32515337423312884,0.5959100204498977
NICO,kNN,val_optimal,True,False,outdoor,outdoor,Temporal,-1,0.9786096256684492,0.2867647058823529,0.6326871657754011
NICO,kNN,val_optimal,True,False,outdoor,water,Unbiased,-1,0.9915254237288136,0.1836283185840708,0.5875768711564422
NICO,kNN,val_optimal,True,False,outdoor,water,Class,-1,0.9711417816813049,0.1642411642411642,0.5676914729612346
NICO,kNN,val_optimal,True,False,outdoor,water,Synthetic,-1,0.8473895582329317,0.34943181818181823,0.598410688207375
NICO,kNN,val_optimal,True,False,outdoor,water,Temporal,-1,0.960960960960961,0.18461538461538463,0.5727881727881727
NICO,kNN,val_optimal,True,False,outdoor,rock,Unbiased,-1,0.9973474801061007,0.28624535315985133,0.641796416632976
NICO,kNN,val_optimal,True,False,outdoor,rock,Class,-1,0.9553956834532374,0.18075117370892024,0.5680734285810789
NICO,kNN,val_optimal,True,False,outdoor,rock,Synthetic,-1,0.9074889867841409,0.46875,0.6881194933920705
NICO,kNN,val_optimal,True,False,outdoor,rock,Temporal,-1,0.9571150097465887,0.32421875,0.6406668798732944
NICO,kNN,val_optimal,True,False,outdoor,grass,Unbiased,-1,0.986046511627907,0.17226890756302526,0.5791577095954661
NICO,kNN,val_optimal,True,False,outdoor,grass,Class,-1,0.9696629213483146,0.1593886462882096,0.564525783818262
NICO,kNN,val_optimal,True,False,outdoor,grass,Synthetic,-1,0.851380042462845,0.33630952380952384,0.5938447831361844
NICO,kNN,val_optimal,True,False,outdoor,grass,Temporal,-1,0.9758403361344538,0.20959595959595956,0.5927181478652066
NICO,kNN,val_optimal,True,False,outdoor,autumn,Unbiased,-1,0.9964912280701754,0.1582150101419878,0.5773531191060817
NICO,kNN,val_optimal,True,False,outdoor,autumn,Class,-1,0.9441624365482234,0.20799999999999996,0.5760812182741117
NICO,kNN,val_optimal,True,False,outdoor,autumn,Synthetic,-1,0.8388791593695272,0.45959595959595956,0.6492375594827433
NICO,kNN,val_optimal,True,False,outdoor,autumn,Temporal,-1,0.973170731707317,0.18558951965065507,0.5793801256789861
NICO,kNN,val_optimal,True,False,water,outdoor,Unbiased,-1,0.984081041968162,1.0,0.992040520984081
NICO,kNN,val_optimal,True,False,water,outdoor,Class,-1,0.973170731707317,0.2923728813559322,0.6327718065316246
NICO,kNN,val_optimal,True,False,water,outdoor,Synthetic,-1,0.8603773584905661,0.3282208588957055,0.5942991086931357
NICO,kNN,val_optimal,True,False,water,outdoor,Temporal,-1,0.9786096256684492,0.2867647058823529,0.6326871657754011
NICO,kNN,val_optimal,True,False,water,water,Unbiased,-1,0.9915254237288136,0.18584070796460173,0.5886830658467077
NICO,kNN,val_optimal,True,False,water,water,Class,-1,0.9686323713927227,0.16839916839916835,0.5685157698959455
NICO,kNN,val_optimal,True,False,water,water,Synthetic,-1,0.8453815261044176,0.35511363636363635,0.600247581234027
NICO,kNN,val_optimal,True,False,water,water,Temporal,-1,0.9594594594594594,0.18681318681318682,0.5731363231363231
NICO,kNN,val_optimal,True,False,water,rock,Unbiased,-1,0.9973474801061007,0.28624535315985133,0.641796416632976
NICO,kNN,val_optimal,True,False,water,rock,Class,-1,0.9525179856115108,0.18544600938967137,0.5689819975005911
NICO,kNN,val_optimal,True,False,water,rock,Synthetic,-1,0.9052863436123348,0.46875,0.6870181718061674
NICO,kNN,val_optimal,True,False,water,rock,Temporal,-1,0.9532163742690059,0.32421875,0.6387175621345029
NICO,kNN,val_optimal,True,False,water,grass,Unbiased,-1,0.986046511627907,0.17226890756302526,0.5791577095954661
NICO,kNN,val_optimal,True,False,water,grass,Class,-1,0.9674157303370786,0.16157205240174677,0.5644938913694126
