Dataset,feature_name,OoD Val Fold,OoD Test Fold,tpr,tnr,ba,bias,k,batch_size,OOD==f(x)==y
CCT,GradNorm,OoD Test,OoD Val,0.13670661340434975,0.9903846153846154,0.5635456143944826,Class,0,8,False
CCT,GradNorm,OoD Test,OoD Val,0.13670661340434975,0.6057692307692308,0.3712379220867903,Synthetic,0,8,False
CCT,GradNorm,OoD Test,OoD Test,0.1415889924545051,1.0,0.5707944962272525,Unbiased,0,8,False
CCT,GradNorm,OoD Test,OoD Test,0.1415889924545051,0.9903846153846154,0.5659868039195602,Class,0,8,False
CCT,GradNorm,OoD Test,OoD Test,0.1415889924545051,0.6057692307692308,0.37367911161186795,Synthetic,0,8,False
CCT,GradNorm,OoD Val,OoD Val,0.724034620505992,0.1923076923076923,0.45817115640684214,Unbiased,1,8,False
CCT,GradNorm,OoD Val,OoD Val,0.724034620505992,0.0,0.362017310252996,Class,1,8,False
CCT,GradNorm,OoD Val,OoD Val,0.724034620505992,0.028846153846153855,0.3764403871760729,Synthetic,1,8,False
CCT,GradNorm,OoD Val,OoD Val,0.724034620505992,0.009615384615384581,0.3668250025606883,Temporal,1,8,False
CCT,GradNorm,OoD Val,OoD Test,0.7140479360852197,0.1923076923076923,0.453177814196456,Unbiased,1,8,False
CCT,GradNorm,OoD Val,OoD Test,0.7140479360852197,0.0,0.35702396804260983,Class,1,8,False
CCT,GradNorm,OoD Val,OoD Test,0.7140479360852197,0.028846153846153855,0.37144704496568676,Synthetic,1,8,False
CCT,GradNorm,OoD Val,OoD Test,0.7140479360852197,0.009615384615384581,0.3618316603503021,Temporal,1,8,False
CCT,GradNorm,OoD Test,OoD Val,0.533288948069241,0.42307692307692313,0.47818293557308206,Unbiased,1,8,False
CCT,GradNorm,OoD Test,OoD Val,0.533288948069241,0.028846153846153855,0.2810675509576974,Class,1,8,False
CCT,GradNorm,OoD Test,OoD Val,0.533288948069241,0.038461538461538436,0.2858752432653897,Synthetic,1,8,False
CCT,GradNorm,OoD Test,OoD Val,0.533288948069241,0.009615384615384581,0.2714521663423128,Temporal,1,8,False
CCT,GradNorm,OoD Test,OoD Test,0.5352862849533955,0.42307692307692313,0.4791816040151593,Unbiased,1,8,False
CCT,GradNorm,OoD Test,OoD Test,0.5352862849533955,0.028846153846153855,0.28206621939977466,Class,1,8,False
CCT,GradNorm,OoD Test,OoD Test,0.5352862849533955,0.038461538461538436,0.28687391170746696,Synthetic,1,8,False
CCT,GradNorm,OoD Test,OoD Test,0.5352862849533955,0.009615384615384581,0.27245083478439003,Temporal,1,8,False
CCT,GradNorm,OoD Val,OoD Val,0.5286284953395473,0.33653846153846156,0.4325834784390044,Unbiased,5,8,False
CCT,GradNorm,OoD Val,OoD Val,0.5286284953395473,0.9903846153846154,0.7595065553620813,Class,5,8,False
CCT,GradNorm,OoD Val,OoD Val,0.5286284953395473,0.9615384615384616,0.7450834784390044,Synthetic,5,8,False
CCT,GradNorm,OoD Val,OoD Val,0.5286284953395473,0.028846153846153855,0.27873732459285055,Temporal,5,8,False
CCT,GradNorm,OoD Val,OoD Test,0.5286284953395473,0.33653846153846156,0.4325834784390044,Unbiased,5,8,False
CCT,GradNorm,OoD Val,OoD Test,0.5286284953395473,0.9903846153846154,0.7595065553620813,Class,5,8,False
CCT,GradNorm,OoD Val,OoD Test,0.5286284953395473,0.9615384615384616,0.7450834784390044,Synthetic,5,8,False
CCT,GradNorm,OoD Val,OoD Test,0.5286284953395473,0.028846153846153855,0.27873732459285055,Temporal,5,8,False
CCT,GradNorm,OoD Test,OoD Val,0.6138482023968043,0.4807692307692307,0.5473087165830175,Unbiased,5,8,False
CCT,GradNorm,OoD Test,OoD Val,0.6138482023968043,0.009615384615384581,0.3117317935060944,Class,5,8,False
CCT,GradNorm,OoD Test,OoD Val,0.6138482023968043,0.019230769230769273,0.31653948581378677,Synthetic,5,8,False
CCT,GradNorm,OoD Test,OoD Val,0.6138482023968043,0.8557692307692308,0.7348087165830175,Temporal,5,8,False
CCT,GradNorm,OoD Test,OoD Test,0.6278295605858855,0.4807692307692307,0.5542993956775581,Unbiased,5,8,False
CCT,GradNorm,OoD Test,OoD Test,0.6278295605858855,0.009615384615384581,0.318722472600635,Class,5,8,False
CCT,GradNorm,OoD Test,OoD Test,0.6278295605858855,0.019230769230769273,0.32353016490832737,Synthetic,5,8,False
CCT,GradNorm,OoD Test,OoD Test,0.6278295605858855,0.8557692307692308,0.7417993956775581,Temporal,5,8,False
CCT,Entropy,OoD Val,OoD Val,0.7666444740346205,0.7884615384615384,0.7775530062480795,Unbiased,-1,8,False
CCT,Entropy,OoD Val,OoD Val,0.7666444740346205,0.5673076923076923,0.6669760831711564,Class,-1,8,False
CCT,Entropy,OoD Val,OoD Val,0.7666444740346205,0.5865384615384616,0.676591467786541,Synthetic,-1,8,False
CCT,Entropy,OoD Val,OoD Val,0.7666444740346205,0.8365384615384616,0.801591467786541,Temporal,-1,8,False
CCT,Entropy,OoD Val,OoD Test,0.7623169107856191,0.7884615384615384,0.7753892246235787,Unbiased,-1,8,False
CCT,Entropy,OoD Val,OoD Test,0.7623169107856191,0.5673076923076923,0.6648123015466557,Class,-1,8,False
CCT,Entropy,OoD Val,OoD Test,0.7623169107856191,0.5865384615384616,0.6744276861620404,Synthetic,-1,8,False
CCT,Entropy,OoD Val,OoD Test,0.7623169107856191,0.8365384615384616,0.7994276861620404,Temporal,-1,8,False
CCT,Entropy,OoD Test,OoD Val,0.7113848202396804,0.875,0.7931924101198402,Unbiased,-1,8,False
CCT,Entropy,OoD Test,OoD Val,0.7113848202396804,0.6153846153846154,0.6633847178121479,Class,-1,8,False
CCT,Entropy,OoD Test,OoD Val,0.7113848202396804,0.6538461538461539,0.6826154870429171,Synthetic,-1,8,False
CCT,Entropy,OoD Test,OoD Val,0.7113848202396804,0.8846153846153846,0.7980001024275325,Temporal,-1,8,False
CCT,Entropy,OoD Test,OoD Test,0.7087217043941412,0.875,0.7918608521970706,Unbiased,-1,8,False
CCT,Entropy,OoD Test,OoD Test,0.7087217043941412,0.6153846153846154,0.6620531598893783,Class,-1,8,False
CCT,Entropy,OoD Test,OoD Test,0.7087217043941412,0.6538461538461539,0.6812839291201476,Synthetic,-1,8,False
CCT,Entropy,OoD Test,OoD Test,0.7087217043941412,0.8846153846153846,0.7966685445047629,Temporal,-1,8,False
CCT,Entropy,OoD Val,OoD Val,0.9973368841544608,0.07692307692307687,0.5371299805387688,Unbiased,0,8,False
CCT,Entropy,OoD Val,OoD Val,0.9973368841544608,0.06730769230769229,0.5323222882310765,Class,0,8,False
CCT,Entropy,OoD Val,OoD Val,0.9973368841544608,0.009615384615384581,0.5034761343849227,Synthetic,0,8,False
CCT,Entropy,OoD Val,OoD Val,0.9973368841544608,0.0,0.4986684420772304,Temporal,0,8,False
CCT,Entropy,OoD Val,OoD Test,0.9963382157123835,0.07692307692307687,0.5366306463177302,Unbiased,0,8,False
CCT,Entropy,OoD Val,OoD Test,0.9963382157123835,0.06730769230769229,0.5318229540100379,Class,0,8,False
CCT,Entropy,OoD Val,OoD Test,0.9963382157123835,0.009615384615384581,0.502976800163884,Synthetic,0,8,False
CCT,Entropy,OoD Val,OoD Test,0.9963382157123835,0.0,0.49816910785619173,Temporal,0,8,False
CCT,Entropy,OoD Test,OoD Val,0.9973368841544608,0.07692307692307687,0.5371299805387688,Unbiased,0,8,False
CCT,Entropy,OoD Test,OoD Val,0.9973368841544608,0.06730769230769229,0.5323222882310765,Class,0,8,False
CCT,Entropy,OoD Test,OoD Val,0.9973368841544608,0.009615384615384581,0.5034761343849227,Synthetic,0,8,False
CCT,Entropy,OoD Test,OoD Val,0.9973368841544608,0.0,0.4986684420772304,Temporal,0,8,False
CCT,Entropy,OoD Test,OoD Test,0.9963382157123835,0.07692307692307687,0.5366306463177302,Unbiased,0,8,False
CCT,Entropy,OoD Test,OoD Test,0.9963382157123835,0.06730769230769229,0.5318229540100379,Class,0,8,False
CCT,Entropy,OoD Test,OoD Test,0.9963382157123835,0.009615384615384581,0.502976800163884,Synthetic,0,8,False
CCT,Entropy,OoD Test,OoD Test,0.9963382157123835,0.0,0.49816910785619173,Temporal,0,8,False
CCT,Entropy,OoD Val,OoD Val,0.42942743009320905,0.7403846153846154,0.5849060227389122,Unbiased,1,8,False
CCT,Entropy,OoD Val,OoD Val,0.42942743009320905,0.9903846153846154,0.7099060227389122,Class,1,8,False
CCT,Entropy,OoD Val,OoD Val,0.42942743009320905,0.9903846153846154,0.7099060227389122,Synthetic,1,8,False
CCT,Entropy,OoD Val,OoD Val,0.42942743009320905,1.0,0.7147137150466045,Temporal,1,8,False
CCT,Entropy,OoD Val,OoD Test,0.4047936085219707,0.7403846153846154,0.5725891119532931,Unbiased,1,8,False
CCT,Entropy,OoD Val,OoD Test,0.4047936085219707,0.9903846153846154,0.6975891119532931,Class,1,8,False
CCT,Entropy,OoD Val,OoD Test,0.4047936085219707,0.9903846153846154,0.6975891119532931,Synthetic,1,8,False
CCT,Entropy,OoD Val,OoD Test,0.4047936085219707,1.0,0.7023968042609854,Temporal,1,8,False
CCT,Entropy,OoD Test,OoD Val,0.42942743009320905,0.7403846153846154,0.5849060227389122,Unbiased,1,8,False
CCT,Entropy,OoD Test,OoD Val,0.42942743009320905,0.9903846153846154,0.7099060227389122,Class,1,8,False
CCT,Entropy,OoD Test,OoD Val,0.42942743009320905,0.9903846153846154,0.7099060227389122,Synthetic,1,8,False
CCT,Entropy,OoD Test,OoD Val,0.42942743009320905,1.0,0.7147137150466045,Temporal,1,8,False
CCT,Entropy,OoD Test,OoD Test,0.4047936085219707,0.7403846153846154,0.5725891119532931,Unbiased,1,8,False
CCT,Entropy,OoD Test,OoD Test,0.4047936085219707,0.9903846153846154,0.6975891119532931,Class,1,8,False
CCT,Entropy,OoD Test,OoD Test,0.4047936085219707,0.9903846153846154,0.6975891119532931,Synthetic,1,8,False
CCT,Entropy,OoD Test,OoD Test,0.4047936085219707,1.0,0.7023968042609854,Temporal,1,8,False
CCT,Entropy,OoD Val,OoD Val,0.3904793608521971,0.9038461538461539,0.6471627573491755,Unbiased,5,8,False
CCT,Entropy,OoD Val,OoD Val,0.3904793608521971,0.0,0.19523968042609854,Class,5,8,False
CCT,Entropy,OoD Val,OoD Val,0.3904793608521971,0.028846153846153855,0.20966275734917547,Synthetic,5,8,False
CCT,Entropy,OoD Val,OoD Val,0.3904793608521971,1.0,0.6952396804260985,Temporal,5,8,False
CCT,Entropy,OoD Val,OoD Test,0.4097869507323569,0.9038461538461539,0.6568165522892554,Unbiased,5,8,False
CCT,Entropy,OoD Val,OoD Test,0.4097869507323569,0.0,0.20489347536617844,Class,5,8,False
CCT,Entropy,OoD Val,OoD Test,0.4097869507323569,0.028846153846153855,0.21931655228925537,Synthetic,5,8,False
CCT,Entropy,OoD Val,OoD Test,0.4097869507323569,1.0,0.7048934753661784,Temporal,5,8,False
CCT,Entropy,OoD Test,OoD Val,0.400133155792277,0.8653846153846154,0.6327588855884462,Unbiased,5,8,False
CCT,Entropy,OoD Test,OoD Val,0.400133155792277,0.0,0.2000665778961385,Class,5,8,False
CCT,Entropy,OoD Test,OoD Val,0.400133155792277,0.028846153846153855,0.21448965481921542,Synthetic,5,8,False
CCT,Entropy,OoD Test,OoD Val,0.400133155792277,1.0,0.7000665778961385,Temporal,5,8,False
CCT,Entropy,OoD Test,OoD Test,0.4234354194407457,0.8653846153846154,0.6444100174126806,Unbiased,5,8,False
CCT,Entropy,OoD Test,OoD Test,0.4234354194407457,0.0,0.21171770972037285,Class,5,8,False
CCT,Entropy,OoD Test,OoD Test,0.4234354194407457,0.028846153846153855,0.22614078664344978,Synthetic,5,8,False
CCT,Entropy,OoD Test,OoD Test,0.4234354194407457,1.0,0.7117177097203728,Temporal,5,8,False
CCT,Energy,OoD Val,OoD Val,0.8501997336884154,0.9807692307692307,0.9154844822288231,Unbiased,-1,8,False
CCT,Energy,OoD Val,OoD Val,0.8501997336884154,0.875,0.8625998668442076,Class,-1,8,False
CCT,Energy,OoD Val,OoD Val,0.8501997336884154,0.8461538461538461,0.8481767899211308,Synthetic,-1,8,False
CCT,Energy,OoD Val,OoD Val,0.8501997336884154,0.9711538461538461,0.9106767899211308,Temporal,-1,8,False
CCT,Energy,OoD Val,OoD Test,0.8535286284953395,0.9807692307692307,0.9171489296322851,Unbiased,-1,8,False
CCT,Energy,OoD Val,OoD Test,0.8535286284953395,0.875,0.8642643142476698,Class,-1,8,False
CCT,Energy,OoD Val,OoD Test,0.8535286284953395,0.8461538461538461,0.8498412373245928,Synthetic,-1,8,False
CCT,Energy,OoD Val,OoD Test,0.8535286284953395,0.9711538461538461,0.9123412373245928,Temporal,-1,8,False
CCT,Energy,OoD Test,OoD Val,0.8475366178428761,0.9807692307692307,0.9141529243060534,Unbiased,-1,8,False
CCT,Energy,OoD Test,OoD Val,0.8475366178428761,0.875,0.8612683089214381,Class,-1,8,False
CCT,Energy,OoD Test,OoD Val,0.8475366178428761,0.8461538461538461,0.8468452319983611,Synthetic,-1,8,False
CCT,Energy,OoD Test,OoD Val,0.8475366178428761,0.9711538461538461,0.9093452319983611,Temporal,-1,8,False
CCT,Energy,OoD Test,OoD Test,0.8505326231691078,0.9807692307692307,0.9156509269691693,Unbiased,-1,8,False
CCT,Energy,OoD Test,OoD Test,0.8505326231691078,0.875,0.8627663115845539,Class,-1,8,False
CCT,Energy,OoD Test,OoD Test,0.8505326231691078,0.8461538461538461,0.848343234661477,Synthetic,-1,8,False
CCT,Energy,OoD Test,OoD Test,0.8505326231691078,0.9711538461538461,0.910843234661477,Temporal,-1,8,False
CCT,Energy,OoD Val,OoD Val,0.494340878828229,1.0,0.7471704394141145,Unbiased,0,8,False
CCT,Energy,OoD Val,OoD Val,0.494340878828229,0.9134615384615384,0.7039012086448837,Class,0,8,False
CCT,Energy,OoD Val,OoD Val,0.494340878828229,0.8461538461538461,0.6702473624910376,Synthetic,0,8,False
CCT,Energy,OoD Val,OoD Val,0.494340878828229,1.0,0.7471704394141145,Temporal,0,8,False
CCT,Energy,OoD Val,OoD Test,0.4910119840213049,1.0,0.7455059920106525,Unbiased,0,8,False
CCT,Energy,OoD Val,OoD Test,0.4910119840213049,0.9134615384615384,0.7022367612414216,Class,0,8,False
CCT,Energy,OoD Val,OoD Test,0.4910119840213049,0.8461538461538461,0.6685829150875755,Synthetic,0,8,False
CCT,Energy,OoD Val,OoD Test,0.4910119840213049,1.0,0.7455059920106525,Temporal,0,8,False
CCT,Energy,OoD Test,OoD Val,0.494340878828229,1.0,0.7471704394141145,Unbiased,0,8,False
CCT,Energy,OoD Test,OoD Val,0.494340878828229,0.9134615384615384,0.7039012086448837,Class,0,8,False
CCT,Energy,OoD Test,OoD Val,0.494340878828229,0.8461538461538461,0.6702473624910376,Synthetic,0,8,False
CCT,Energy,OoD Test,OoD Val,0.494340878828229,1.0,0.7471704394141145,Temporal,0,8,False
CCT,Energy,OoD Test,OoD Test,0.4910119840213049,1.0,0.7455059920106525,Unbiased,0,8,False
CCT,Energy,OoD Test,OoD Test,0.4910119840213049,0.9134615384615384,0.7022367612414216,Class,0,8,False
CCT,Energy,OoD Test,OoD Test,0.4910119840213049,0.8461538461538461,0.6685829150875755,Synthetic,0,8,False
CCT,Energy,OoD Test,OoD Test,0.4910119840213049,1.0,0.7455059920106525,Temporal,0,8,False
CCT,Energy,OoD Val,OoD Val,0.813249001331558,0.9519230769230769,0.8825860391273175,Unbiased,1,8,False
CCT,Energy,OoD Val,OoD Val,0.813249001331558,0.9903846153846154,0.9018168083580866,Class,1,8,False
CCT,Energy,OoD Val,OoD Val,0.813249001331558,1.0,0.9066245006657789,Synthetic,1,8,False
CCT,Energy,OoD Val,OoD Val,0.813249001331558,1.0,0.9066245006657789,Temporal,1,8,False
CCT,Energy,OoD Val,OoD Test,0.8009320905459387,0.9519230769230769,0.8764275837345078,Unbiased,1,8,False
CCT,Energy,OoD Val,OoD Test,0.8009320905459387,0.9903846153846154,0.8956583529652771,Class,1,8,False
CCT,Energy,OoD Val,OoD Test,0.8009320905459387,1.0,0.9004660452729694,Synthetic,1,8,False
CCT,Energy,OoD Val,OoD Test,0.8009320905459387,1.0,0.9004660452729694,Temporal,1,8,False
CCT,Energy,OoD Test,OoD Val,0.813249001331558,0.9519230769230769,0.8825860391273175,Unbiased,1,8,False
CCT,Energy,OoD Test,OoD Val,0.813249001331558,0.9903846153846154,0.9018168083580866,Class,1,8,False
CCT,Energy,OoD Test,OoD Val,0.813249001331558,1.0,0.9066245006657789,Synthetic,1,8,False
CCT,Energy,OoD Test,OoD Val,0.813249001331558,1.0,0.9066245006657789,Temporal,1,8,False
CCT,Energy,OoD Test,OoD Test,0.8009320905459387,0.9519230769230769,0.8764275837345078,Unbiased,1,8,False
CCT,Energy,OoD Test,OoD Test,0.8009320905459387,0.9903846153846154,0.8956583529652771,Class,1,8,False
CCT,Energy,OoD Test,OoD Test,0.8009320905459387,1.0,0.9004660452729694,Synthetic,1,8,False
CCT,Energy,OoD Test,OoD Test,0.8009320905459387,1.0,0.9004660452729694,Temporal,1,8,False
CCT,Energy,OoD Val,OoD Val,0.4737017310252996,0.9134615384615384,0.693581634743419,Unbiased,5,8,False
CCT,Energy,OoD Val,OoD Val,0.4737017310252996,0.11538461538461542,0.2945431732049575,Class,5,8,False
CCT,Energy,OoD Val,OoD Val,0.4737017310252996,0.21153846153846156,0.3426200962818806,Synthetic,5,8,False
CCT,Energy,OoD Val,OoD Val,0.4737017310252996,1.0,0.7368508655126498,Temporal,5,8,False
CCT,Energy,OoD Val,OoD Test,0.4710386151797603,0.9134615384615384,0.6922500768206494,Unbiased,5,8,False
CCT,Energy,OoD Val,OoD Test,0.4710386151797603,0.11538461538461542,0.29321161528218787,Class,5,8,False
CCT,Energy,OoD Val,OoD Test,0.4710386151797603,0.21153846153846156,0.34128853835911094,Synthetic,5,8,False
CCT,Energy,OoD Val,OoD Test,0.4710386151797603,1.0,0.7355193075898802,Temporal,5,8,False
CCT,Energy,OoD Test,OoD Val,0.4737017310252996,0.9134615384615384,0.693581634743419,Unbiased,5,8,False
CCT,Energy,OoD Test,OoD Val,0.4737017310252996,0.11538461538461542,0.2945431732049575,Class,5,8,False
CCT,Energy,OoD Test,OoD Val,0.4737017310252996,0.21153846153846156,0.3426200962818806,Synthetic,5,8,False
CCT,Energy,OoD Test,OoD Val,0.4737017310252996,1.0,0.7368508655126498,Temporal,5,8,False
CCT,Energy,OoD Test,OoD Test,0.4710386151797603,0.9134615384615384,0.6922500768206494,Unbiased,5,8,False
CCT,Energy,OoD Test,OoD Test,0.4710386151797603,0.11538461538461542,0.29321161528218787,Class,5,8,False
CCT,Energy,OoD Test,OoD Test,0.4710386151797603,0.21153846153846156,0.34128853835911094,Synthetic,5,8,False
CCT,Energy,OoD Test,OoD Test,0.4710386151797603,1.0,0.7355193075898802,Temporal,5,8,False
CCT,Typicality,OoD Val,OoD Val,0.6501331557922769,0.7211538461538461,0.6856435009730615,Unbiased,-1,8,False
CCT,Typicality,OoD Val,OoD Val,0.6501331557922769,0.5865384615384616,0.6183358086653692,Class,-1,8,False
CCT,Typicality,OoD Val,OoD Val,0.6501331557922769,0.5288461538461539,0.5894896548192154,Synthetic,-1,8,False
CCT,Typicality,OoD Val,OoD Val,0.6501331557922769,0.6923076923076923,0.6712204240499846,Temporal,-1,8,False
CCT,Typicality,OoD Val,OoD Test,0.6541278295605859,0.7211538461538461,0.6876408378572161,Unbiased,-1,8,False
CCT,Typicality,OoD Val,OoD Test,0.6541278295605859,0.5865384615384616,0.6203331455495238,Class,-1,8,False
CCT,Typicality,OoD Val,OoD Test,0.6541278295605859,0.5288461538461539,0.5914869917033698,Synthetic,-1,8,False
CCT,Typicality,OoD Val,OoD Test,0.6541278295605859,0.6923076923076923,0.6732177609341391,Temporal,-1,8,False
CCT,Typicality,OoD Test,OoD Val,0.6657789613848203,0.6923076923076923,0.6790433268462563,Unbiased,-1,8,False
CCT,Typicality,OoD Test,OoD Val,0.6657789613848203,0.5769230769230769,0.6213510191539486,Class,-1,8,False
