Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,tpr,tnr,ba
NICO,kNN,logistic,True,True,outdoor,autumn,1.0,1.0,1.0
NICO,kNN,logistic,True,True,outdoor,brightness,0.0,1.0,0.5
NICO,kNN,logistic,True,True,outdoor,contrast,0.0,1.0,0.5
NICO,kNN,logistic,True,True,outdoor,grass,1.0,1.0,1.0
NICO,kNN,logistic,True,True,outdoor,hue,1.0,1.0,1.0
NICO,kNN,logistic,True,True,outdoor,multnoise,1.0,1.0,1.0
NICO,kNN,logistic,True,True,outdoor,noise,1.0,1.0,1.0
NICO,kNN,logistic,True,True,outdoor,outdoor,1.0,1.0,1.0
NICO,kNN,logistic,True,True,outdoor,rock,1.0,1.0,1.0
NICO,kNN,logistic,True,True,outdoor,saltpepper,1.0,1.0,1.0
NICO,kNN,logistic,True,True,outdoor,smear,1.0,1.0,1.0
NICO,kNN,logistic,True,True,outdoor,water,1.0,1.0,1.0
NICO,kNN,logistic,True,True,rock,autumn,1.0,1.0,1.0
NICO,kNN,logistic,True,True,rock,brightness,0.0,1.0,0.5
NICO,kNN,logistic,True,True,rock,contrast,0.0,0.9949748743718593,0.49748743718592964
NICO,kNN,logistic,True,True,rock,grass,1.0,1.0,1.0
NICO,kNN,logistic,True,True,rock,hue,1.0,1.0,1.0
NICO,kNN,logistic,True,True,rock,multnoise,1.0,1.0,1.0
NICO,kNN,logistic,True,True,rock,noise,1.0,1.0,1.0
NICO,kNN,logistic,True,True,rock,outdoor,1.0,1.0,1.0
NICO,kNN,logistic,True,True,rock,rock,1.0,1.0,1.0
NICO,kNN,logistic,True,True,rock,saltpepper,1.0,1.0,1.0
NICO,kNN,logistic,True,True,rock,smear,1.0,1.0,1.0
NICO,kNN,logistic,True,True,rock,water,1.0,1.0,1.0
NICO,kNN,logistic,True,True,water,autumn,1.0,1.0,1.0
NICO,kNN,logistic,True,True,water,brightness,0.0,1.0,0.5
NICO,kNN,logistic,True,True,water,contrast,0.0,1.0,0.5
NICO,kNN,logistic,True,True,water,grass,1.0,1.0,1.0
NICO,kNN,logistic,True,True,water,hue,1.0,1.0,1.0
NICO,kNN,logistic,True,True,water,multnoise,1.0,1.0,1.0
NICO,kNN,logistic,True,True,water,noise,1.0,1.0,1.0
NICO,kNN,logistic,True,True,water,outdoor,1.0,1.0,1.0
NICO,kNN,logistic,True,True,water,rock,1.0,1.0,1.0
NICO,kNN,logistic,True,True,water,saltpepper,1.0,1.0,1.0
NICO,kNN,logistic,True,True,water,smear,1.0,1.0,1.0
NICO,kNN,logistic,True,True,water,water,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,autumn,autumn,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,autumn,brightness,0.0,1.0,0.5
NICO,kNN,val_optimal,True,False,autumn,contrast,0.0,1.0,0.5
NICO,kNN,val_optimal,True,False,autumn,grass,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,autumn,hue,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,autumn,multnoise,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,autumn,noise,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,autumn,outdoor,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,autumn,rock,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,autumn,saltpepper,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,autumn,smear,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,autumn,water,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,grass,autumn,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,grass,brightness,0.0,1.0,0.5
NICO,kNN,val_optimal,True,False,grass,contrast,0.0,1.0,0.5
NICO,kNN,val_optimal,True,False,grass,grass,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,grass,hue,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,grass,multnoise,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,grass,noise,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,grass,outdoor,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,grass,rock,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,grass,saltpepper,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,grass,smear,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,grass,water,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,outdoor,autumn,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,outdoor,brightness,0.0,1.0,0.5
NICO,kNN,val_optimal,True,False,outdoor,contrast,0.0,1.0,0.5
NICO,kNN,val_optimal,True,False,outdoor,grass,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,outdoor,hue,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,outdoor,multnoise,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,outdoor,noise,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,outdoor,outdoor,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,outdoor,rock,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,outdoor,saltpepper,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,outdoor,smear,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,outdoor,water,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,rock,autumn,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,rock,brightness,0.0,1.0,0.5
NICO,kNN,val_optimal,True,False,rock,contrast,0.0,1.0,0.5
NICO,kNN,val_optimal,True,False,rock,grass,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,rock,hue,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,rock,multnoise,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,rock,noise,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,rock,outdoor,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,rock,rock,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,rock,saltpepper,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,rock,smear,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,rock,water,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,water,autumn,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,water,brightness,0.0,1.0,0.5
NICO,kNN,val_optimal,True,False,water,contrast,0.0,1.0,0.5
NICO,kNN,val_optimal,True,False,water,grass,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,water,hue,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,water,multnoise,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,water,noise,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,water,outdoor,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,water,rock,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,water,saltpepper,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,water,smear,1.0,1.0,1.0
NICO,kNN,val_optimal,True,False,water,water,1.0,1.0,1.0
NICO,kNN,ind_span,True,False,autumn,autumn,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,autumn,brightness,0.0,0.9847715736040609,0.49238578680203043
NICO,kNN,ind_span,True,False,autumn,contrast,1.0,0.9798994974874372,0.9899497487437185
NICO,kNN,ind_span,True,False,autumn,grass,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,autumn,hue,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,autumn,multnoise,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,autumn,noise,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,autumn,outdoor,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,autumn,rock,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,autumn,saltpepper,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,autumn,smear,1.0,0.985,0.9924999999999999
NICO,kNN,ind_span,True,False,autumn,water,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,grass,autumn,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,grass,brightness,0.0,0.9847715736040609,0.49238578680203043
NICO,kNN,ind_span,True,False,grass,contrast,1.0,0.9798994974874372,0.9899497487437185
NICO,kNN,ind_span,True,False,grass,grass,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,grass,hue,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,grass,multnoise,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,grass,noise,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,grass,outdoor,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,grass,rock,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,grass,saltpepper,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,grass,smear,1.0,0.985,0.9924999999999999
NICO,kNN,ind_span,True,False,grass,water,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,outdoor,autumn,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,outdoor,brightness,0.0,0.9847715736040609,0.49238578680203043
NICO,kNN,ind_span,True,False,outdoor,contrast,1.0,0.9798994974874372,0.9899497487437185
NICO,kNN,ind_span,True,False,outdoor,grass,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,outdoor,hue,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,outdoor,multnoise,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,outdoor,noise,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,outdoor,outdoor,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,outdoor,rock,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,outdoor,saltpepper,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,outdoor,smear,1.0,0.985,0.9924999999999999
NICO,kNN,ind_span,True,False,outdoor,water,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,rock,autumn,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,rock,brightness,0.0,0.9847715736040609,0.49238578680203043
NICO,kNN,ind_span,True,False,rock,contrast,1.0,0.9798994974874372,0.9899497487437185
NICO,kNN,ind_span,True,False,rock,grass,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,rock,hue,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,rock,multnoise,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,rock,noise,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,rock,outdoor,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,rock,rock,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,rock,saltpepper,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,rock,smear,1.0,0.985,0.9924999999999999
NICO,kNN,ind_span,True,False,rock,water,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,water,autumn,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,water,brightness,0.0,0.9847715736040609,0.49238578680203043
NICO,kNN,ind_span,True,False,water,contrast,1.0,0.9798994974874372,0.9899497487437185
NICO,kNN,ind_span,True,False,water,grass,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,water,hue,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,water,multnoise,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,water,noise,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,water,outdoor,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,water,rock,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,water,saltpepper,1.0,0.98,0.99
NICO,kNN,ind_span,True,False,water,smear,1.0,0.985,0.9924999999999999
