Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,tpr,tnr,ba
Office31,kNN,val_optimal,True,False,smear,smear,0.9545454545454546,0.101123595505618,0.5278345250255363
Office31,kNN,val_optimal,True,False,smear,webcam,0.047619047619047616,0.1578947368421053,0.10275689223057646
Office31,kNN,val_optimal,True,False,webcam,brightness,1.0,1.0,1.0
Office31,kNN,val_optimal,True,False,webcam,dslr,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,val_optimal,True,False,webcam,smear,0.0,1.0,0.5
Office31,kNN,val_optimal,True,False,webcam,webcam,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,ind_span,True,False,brightness,brightness,1.0,0.92,0.96
Office31,kNN,ind_span,True,False,brightness,dslr,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,False,brightness,smear,0.09090909090909091,0.9550561797752809,0.5229826353421859
Office31,kNN,ind_span,True,False,brightness,webcam,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,False,dslr,brightness,1.0,0.92,0.96
Office31,kNN,ind_span,True,False,dslr,dslr,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,False,dslr,smear,0.09090909090909091,0.9550561797752809,0.5229826353421859
Office31,kNN,ind_span,True,False,dslr,webcam,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,False,smear,brightness,1.0,0.92,0.96
Office31,kNN,ind_span,True,False,smear,dslr,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,False,smear,smear,0.09090909090909091,0.9550561797752809,0.5229826353421859
Office31,kNN,ind_span,True,False,smear,webcam,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,False,webcam,brightness,1.0,0.92,0.96
Office31,kNN,ind_span,True,False,webcam,dslr,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,ind_span,True,False,webcam,smear,0.09090909090909091,0.9550561797752809,0.5229826353421859
Office31,kNN,ind_span,True,False,webcam,webcam,0.9619047619047619,0.9263157894736842,0.944110275689223
Office31,kNN,logistic,True,False,brightness,brightness,1.0,1.0,1.0
Office31,kNN,logistic,True,False,brightness,dslr,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,logistic,True,False,brightness,smear,0.0,1.0,0.5
Office31,kNN,logistic,True,False,brightness,webcam,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,logistic,True,False,dslr,brightness,1.0,1.0,1.0
Office31,kNN,logistic,True,False,dslr,dslr,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,logistic,True,False,dslr,smear,0.0,1.0,0.5
Office31,kNN,logistic,True,False,dslr,webcam,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,logistic,True,False,smear,brightness,0.0,0.28,0.14
Office31,kNN,logistic,True,False,smear,dslr,0.047619047619047616,0.2947368421052632,0.1711779448621554
Office31,kNN,logistic,True,False,smear,smear,0.8181818181818182,0.3089887640449438,0.563585291113381
Office31,kNN,logistic,True,False,smear,webcam,0.047619047619047616,0.2947368421052632,0.1711779448621554
Office31,kNN,logistic,True,False,webcam,brightness,1.0,1.0,1.0
Office31,kNN,logistic,True,False,webcam,dslr,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,logistic,True,False,webcam,smear,0.0,1.0,0.5
Office31,kNN,logistic,True,False,webcam,webcam,0.9523809523809523,1.0,0.9761904761904762
Office31,kNN,val_optimal,False,False,brightness,brightness,1.0,1.0,1.0
Office31,kNN,val_optimal,False,False,brightness,dslr,1.0,1.0,1.0
Office31,kNN,val_optimal,False,False,brightness,smear,0.0,1.0,0.5
Office31,kNN,val_optimal,False,False,brightness,webcam,1.0,1.0,1.0
Office31,kNN,val_optimal,False,False,dslr,brightness,1.0,1.0,1.0
Office31,kNN,val_optimal,False,False,dslr,dslr,1.0,1.0,1.0
Office31,kNN,val_optimal,False,False,dslr,smear,0.0,1.0,0.5
Office31,kNN,val_optimal,False,False,dslr,webcam,1.0,1.0,1.0
Office31,kNN,val_optimal,False,False,smear,brightness,0.0,0.15000000000000002,0.07500000000000001
Office31,kNN,val_optimal,False,False,smear,dslr,0.0,0.15000000000000002,0.07500000000000001
Office31,kNN,val_optimal,False,False,smear,smear,0.96,0.15000000000000002,0.5549999999999999
Office31,kNN,val_optimal,False,False,smear,webcam,0.0,0.15000000000000002,0.07500000000000001
Office31,kNN,val_optimal,False,False,webcam,brightness,1.0,1.0,1.0
Office31,kNN,val_optimal,False,False,webcam,dslr,1.0,1.0,1.0
