Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,tpr,tnr,ba
CCT,kNN,val_optimal,True,False,OoD Test,saltpepper,1.0,1.0,1.0
CCT,kNN,val_optimal,True,False,OoD Test,smear,1.0,1.0,1.0
CCT,kNN,val_optimal,True,False,OoD Val,OoD Test,1.0,1.0,1.0
CCT,kNN,val_optimal,True,False,OoD Val,OoD Val,1.0,0.6024096385542168,0.8012048192771084
CCT,kNN,val_optimal,True,False,OoD Val,brightness,1.0,0.5,0.75
CCT,kNN,val_optimal,True,False,OoD Val,contrast,1.0,1.0,1.0
CCT,kNN,val_optimal,True,False,OoD Val,hue,0.9772727272727273,0.8928571428571429,0.9350649350649352
CCT,kNN,val_optimal,True,False,OoD Val,multnoise,1.0,0.9803921568627451,0.9901960784313726
CCT,kNN,val_optimal,True,False,OoD Val,noise,1.0,1.0,1.0
CCT,kNN,val_optimal,True,False,OoD Val,saltpepper,1.0,1.0,1.0
CCT,kNN,val_optimal,True,False,OoD Val,smear,1.0,1.0,1.0
CCT,kNN,ind_span,True,False,OoD Test,OoD Test,1.0,1.0,1.0
CCT,kNN,ind_span,True,False,OoD Test,OoD Val,1.0,0.6024096385542168,0.8012048192771084
CCT,kNN,ind_span,True,False,OoD Test,brightness,1.0,0.5,0.75
CCT,kNN,ind_span,True,False,OoD Test,contrast,1.0,0.99,0.995
CCT,kNN,ind_span,True,False,OoD Test,hue,1.0,0.8928571428571429,0.9464285714285714
CCT,kNN,ind_span,True,False,OoD Test,multnoise,1.0,0.9803921568627451,0.9901960784313726
CCT,kNN,ind_span,True,False,OoD Test,noise,1.0,1.0,1.0
CCT,kNN,ind_span,True,False,OoD Test,saltpepper,1.0,1.0,1.0
CCT,kNN,ind_span,True,False,OoD Test,smear,1.0,0.5,0.75
CCT,kNN,ind_span,True,False,OoD Val,OoD Test,1.0,1.0,1.0
CCT,kNN,ind_span,True,False,OoD Val,OoD Val,1.0,0.6024096385542168,0.8012048192771084
CCT,kNN,ind_span,True,False,OoD Val,brightness,1.0,0.5,0.75
CCT,kNN,ind_span,True,False,OoD Val,contrast,1.0,0.99,0.995
CCT,kNN,ind_span,True,False,OoD Val,hue,1.0,0.8928571428571429,0.9464285714285714
CCT,kNN,ind_span,True,False,OoD Val,multnoise,1.0,0.9803921568627451,0.9901960784313726
CCT,kNN,ind_span,True,False,OoD Val,noise,1.0,1.0,1.0
CCT,kNN,ind_span,True,False,OoD Val,saltpepper,1.0,1.0,1.0
CCT,kNN,ind_span,True,False,OoD Val,smear,1.0,0.5,0.75
CCT,kNN,logistic,True,False,OoD Test,OoD Test,1.0,1.0,1.0
CCT,kNN,logistic,True,False,OoD Test,OoD Val,1.0,0.6024096385542168,0.8012048192771084
CCT,kNN,logistic,True,False,OoD Test,brightness,1.0,0.5,0.75
CCT,kNN,logistic,True,False,OoD Test,contrast,1.0,1.0,1.0
CCT,kNN,logistic,True,False,OoD Test,hue,0.9772727272727273,0.8928571428571429,0.9350649350649352
CCT,kNN,logistic,True,False,OoD Test,multnoise,1.0,0.9803921568627451,0.9901960784313726
CCT,kNN,logistic,True,False,OoD Test,noise,1.0,1.0,1.0
CCT,kNN,logistic,True,False,OoD Test,saltpepper,1.0,1.0,1.0
CCT,kNN,logistic,True,False,OoD Test,smear,1.0,0.995,0.9975
CCT,kNN,logistic,True,False,OoD Val,OoD Test,1.0,1.0,1.0
CCT,kNN,logistic,True,False,OoD Val,OoD Val,1.0,0.6024096385542168,0.8012048192771084
CCT,kNN,logistic,True,False,OoD Val,brightness,1.0,0.5,0.75
CCT,kNN,logistic,True,False,OoD Val,contrast,1.0,1.0,1.0
CCT,kNN,logistic,True,False,OoD Val,hue,0.9772727272727273,0.8928571428571429,0.9350649350649352
CCT,kNN,logistic,True,False,OoD Val,multnoise,1.0,0.9803921568627451,0.9901960784313726
CCT,kNN,logistic,True,False,OoD Val,noise,1.0,1.0,1.0
CCT,kNN,logistic,True,False,OoD Val,saltpepper,1.0,1.0,1.0
CCT,kNN,logistic,True,False,OoD Val,smear,1.0,0.995,0.9975
CCT,kNN,val_optimal,False,False,OoD Test,OoD Test,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Test,OoD Val,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Test,brightness,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Test,contrast,0.0,1.0,0.5
CCT,kNN,val_optimal,False,False,OoD Test,hue,0.98,1.0,0.99
CCT,kNN,val_optimal,False,False,OoD Test,multnoise,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Test,noise,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Test,saltpepper,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Test,smear,0.0,1.0,0.5
CCT,kNN,val_optimal,False,False,OoD Val,OoD Test,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Val,OoD Val,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Val,brightness,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Val,contrast,0.0,1.0,0.5
CCT,kNN,val_optimal,False,False,OoD Val,hue,0.98,1.0,0.99
CCT,kNN,val_optimal,False,False,OoD Val,multnoise,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Val,noise,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Val,saltpepper,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Val,smear,0.0,1.0,0.5
