Dataset,Model,feature_name,fold,shift_type,category,observed_gap,predicted_gap,MAE,Method
CCT,vit,kNN,fog_0.275,fog,Synthetic,-0.27103365384615374,-0.26805095140841717,0.002982702437736573,Ours
CCT,vit,kNN,fog_0.30000000000000004,fog,Synthetic,-0.2716346153846154,-0.25884913046129027,0.012785484923325152,Ours
CCT,vit,kNN,fog_0.325,fog,Synthetic,-0.23978365384615374,-0.24826703637209435,0.008483382525940608,Ours
CCT,vit,kNN,fog_0.35000000000000003,fog,Synthetic,-0.27223557692307687,-0.251717719227267,0.020517857695809882,Ours
CCT,vit,kNN,fog_0.375,fog,Synthetic,-0.266826923076923,-0.26851104245577345,0.001684119378850435,Ours
CCT,vit,kNN,fog_0.4,fog,Synthetic,-0.2542067307692306,-0.2627599043638192,0.00855317359458857,Ours
CCT,vit,kNN,fog_0.42500000000000004,fog,Synthetic,-0.2620192307692306,-0.25217781027462327,0.009841420494607345,Ours
CCT,vit,kNN,fog_0.45,fog,Synthetic,-0.24218749999999978,-0.28127856901991205,0.03909106901991227,Ours
CCT,vit,kNN,fog_0.47500000000000003,fog,Synthetic,-0.24699519230769218,-0.24608160389715172,0.0009135884105404557,Ours
CCT,vit,kNN,fog_0.5,fog,Synthetic,-0.2734374999999998,-0.2713866115017506,0.0020508884982491926,Ours
CCT,vit,kNN,hue_0.025,hue,Synthetic,0.0282451923076924,0.05609203404470946,0.027846841737017056,Ours
CCT,vit,kNN,hue_0.05,hue,Synthetic,0.0234375,0.03427104313340568,0.010833543133405683,Ours
CCT,vit,kNN,hue_0.07500000000000001,hue,Synthetic,0.008413461538461564,0.017847876289634898,0.009434414751173334,Ours
CCT,vit,kNN,hue_0.1,hue,Synthetic,-0.0030048076923075984,-0.006959144956899907,0.003954337264592309,Ours
CCT,vit,kNN,hue_0.125,hue,Synthetic,-0.010216346153846034,-0.018673571656652455,0.00845722550280642,Ours
CCT,vit,kNN,hue_0.15000000000000002,hue,Synthetic,-0.013221153846153744,-0.012816358306776202,0.0004047955393775421,Ours
CCT,vit,kNN,hue_0.17500000000000002,hue,Synthetic,-0.021033653846153744,-0.028435593906446247,0.007401940060292503,Ours
CCT,vit,kNN,hue_0.2,hue,Synthetic,-0.019230769230769162,-0.031766166203434754,0.012535396972665591,Ours
CCT,vit,kNN,hue_0.225,hue,Synthetic,-0.029447115384615197,-0.03567097510335224,0.00622385971873704,Ours
