Dataset,Method,Model,feature_name,shift,observed_gap,predicted_gap,residual,abs_error
OfficeHome,Ours,resnet,Softmax,Organic,-0.2364296636085626,-0.1073730133642605,0.1290566502443021,0.1290566502443021
OfficeHome,Ours,resnet,Softmax,Organic,-0.1737745098039215,-0.0651459576609221,0.10862855214299941,0.10862855214299941
OfficeHome,Ours,resnet,Softmax,Organic,-0.2946428571428571,-0.1930456468628397,0.10159721028001739,0.10159721028001739
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0439814814814814,-0.1079814919131471,-0.0640000104316657,0.0640000104316657
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0347222222222221,-0.1079814919131471,-0.073259269690925,0.073259269690925
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0370370370370369,-0.1079814919131471,-0.0709444548761102,0.0709444548761102
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0462962962962962,-0.1079814919131471,-0.0616851956168509,0.0616851956168509
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0509259259259258,-0.1079814919131471,-0.0570555659872213,0.0570555659872213
OfficeHome,Ours,resnet,Softmax,Brightness,-0.048611111111111,-0.1079814919131471,-0.0593703808020361,0.0593703808020361
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0462962962962962,-0.1079814919131471,-0.0616851956168509,0.0616851956168509
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0462962962962962,-0.1079814919131471,-0.0616851956168509,0.0616851956168509
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0555555555555555,-0.1079814919131471,-0.0524259363575916,0.0524259363575916
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0578703703703703,-0.1079814919131471,-0.0501111215427768,0.0501111215427768
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0694444444444444,-0.1079814919131471,-0.03853704746870269,0.03853704746870269
OfficeHome,Ours,resnet,Softmax,Brightness,-0.074074074074074,-0.1079814919131471,-0.0339074178390731,0.0339074178390731
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0671296296296296,-0.1079814919131471,-0.040851862283517504,0.040851862283517504
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0717592592592592,-0.1079814919131471,-0.036222232653887895,0.036222232653887895
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0578703703703703,-0.1079814919131471,-0.0501111215427768,0.0501111215427768
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0439814814814814,-0.1079814919131471,-0.0640000104316657,0.0640000104316657
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0393518518518518,-0.1079814919131471,-0.0686296400612953,0.0686296400612953
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0439814814814814,-0.1079814919131471,-0.0640000104316657,0.0640000104316657
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0324074074074073,-0.1079814919131471,-0.0755740845057398,0.0755740845057398
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0300925925925925,-0.1079814919131471,-0.0778888993205546,0.0778888993205546
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0439814814814814,-0.0765205974435664,-0.032539115962085,0.032539115962085
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0347222222222221,-0.0765205974435664,-0.0417983752213443,0.0417983752213443
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0370370370370369,-0.0765205974435664,-0.0394835604065295,0.0394835604065295
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0462962962962962,-0.0765205974435664,-0.030224301147270205,0.030224301147270205
OfficeHome,Ours,resnet,Softmax,Brightness,-0.0509259259259258,-0.0765205974435664,-0.025594671517640603,0.025594671517640603
OfficeHome,Ours,resnet,Softmax,Brightness,-0.048611111111111,-0.0765205974435664,-0.0279094863324554,0.0279094863324554
