,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
0,Base Tree,350.5,665.4244250856141,635.0,0.9944328590877194,1.0,0.12010025062656642,0.0,0.1304897403508773,0.9990000000000001,0.964,0.964,0.1304897403508773,0.005567140912280698,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.0,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,771.7666428673061,793.5323308270678,0.9956194763169328,1.0,0.12010025062656642,0.0,0.1304897403508773,0.9990000000000001,0.964,0.964,0.1304897403508773,0.004380523683067257,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.0,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,681.6893676094153,635.0,0.9914566573450292,1.0,0.2118796992481203,0.11721804511278196,0.21552407585630745,0.9990000000000001,0.964,0.964,0.11552407585630746,0.008543342654970788,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.1,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,872.9375662912216,914.6812030075188,0.992764884687324,1.0,0.2118796992481203,0.11721804511278196,0.21552407585630745,0.9990000000000001,0.964,0.964,0.11552407585630746,0.0072351153126759245,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.1,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,695.6611390756335,694.0329573934838,0.9889000660428849,0.9891979949874686,0.2993483709273183,0.21025062656641605,0.28856954163185744,0.9990000000000001,0.964,0.964,0.08856954163185743,0.010746834048454484,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.2,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,959.8445454604832,1038.4948621553885,0.9903127578617968,0.9891979949874686,0.2993483709273183,0.21025062656641605,0.28856954163185744,0.9990000000000001,0.964,0.964,0.08856954163185743,0.010118193188226349,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.2,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,706.3581332504094,721.4264411027569,0.9869427020584794,0.9841854636591478,0.3660401002506266,0.2848370927318296,0.3444942269005848,0.9990000000000001,0.964,0.964,0.044494226900584785,0.012806714710108623,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.30000000000000004,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,1026.3818096985003,1126.5279448621554,0.9884353734204683,0.9841854636591478,0.3660401002506266,0.2848370927318296,0.3444942269005848,0.9990000000000001,0.964,0.964,0.044494226900584785,0.01275633208311259,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.30000000000000004,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,723.6690280472906,735.1231829573935,0.9837751092319689,0.9816791979949875,0.4703508771929824,0.4087719298245614,0.43499687908660545,0.9990000000000001,0.964,0.964,0.03502302801448066,0.01292160477972711,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.4,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,1134.0587479558524,1264.2181704260652,0.9853972111081267,0.9816791979949875,0.4703508771929824,0.4087719298245614,0.43499687908660545,0.9990000000000001,0.964,0.964,0.03502302801448066,0.013120023105982948,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.4,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,735.8864236794738,748.8199248120301,0.9815395382105263,0.979172932330827,0.5507769423558897,0.5037092731829573,0.49887033684210524,0.9990000000000001,0.964,0.964,0.018870488331940962,0.015554127346700104,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.5,CVC-ClinicDB,CVC-ClinicDB
1,Detector Tree,350.5,1210.053187907579,1370.3805764411027,0.9832529874039105,0.979172932330827,0.5507769423558897,0.5037092731829573,0.49887033684210524,0.9990000000000001,0.964,0.964,0.018870488331940962,0.015754242587075976,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.5,CVC-ClinicDB,CVC-ClinicDB
0,Base Tree,350.5,744.9916762229241,830.3155388471179,0.9798734352748538,0.9642606516290727,0.6057142857142858,0.5912280701754387,0.5464732778613199,0.9990000000000001,0.964,0.964,0.053526722138680156,0.017186666292397675,knn,0.9291111111111111,0.9708888888888888,0.8873333333333333,0.6000000000000001,CVC-ClinicDB,CVC-ClinicDB
